,USSR,Cambodia,Bahrain,Australia & New Zealand,Australia,Pakistan,Thailand,Belize,Ethiopia,Kenya,Nigeria,Romania,Serbia,Solomon Islands,Lebanon,Papua New Guinea,Peru,Micronesia,Togo,Tunisia,Albania,Brazil,Mozambique,Democratic People's Republic of Korea,Slovenia,El Salvador,Hungary,Argentina,Colombia,New Caledonia,Tajikistan,India,Swaziland,Indonesia,Poland,Turkey,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,France,Republic of Korea,New Zealand,Mali,United Arab Emirates,Montenegro,Republic of Moldova,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,Spain,"China, mainland",Nepal,Madagascar,Cyprus,Guinea-Bissau,Bosnia and Herzegovina,Cameroon,Guatemala,Slovakia,United States of America,Bhutan,Turkmenistan,Dominica,Iraq,Czechia,United Republic of Tanzania,Philippines,Belgium,Kiribati,Luxembourg,Libya,Costa Rica,Bangladesh,Italy,Senegal,Germany,Benin,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Armenia,Morocco,Mongolia,Chile,Honduras,Denmark,Zimbabwe,Kyrgyzstan,Malawi,Algeria,Austria,Israel,Japan,Maldives,Belarus,Afghanistan,Switzerland,Trinidad and Tobago,Georgia,Azerbaijan,Mauritius,Yemen,Viet Nam,Russian Federation,Portugal,Bolivia (Plurinational State of),Latvia,Guinea,Ukraine,South Africa,Guadeloupe,Sri Lanka,Guam,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Occupied Palestinian Territory,Liberia
1961,17000.0,1500.0,150.0,368.0,190.0,17500.0,1800.0,0.0,,4000.0,7000.0,36000.0,,200.0,4300.0,2134.0,2000.0,120.0,,5800.0,6000.0,61901.0,107000.0,3400.0,,1500.0,12900.0,3925.0,0.0,,,97000.0,0.0,0.0,0.0,227780.0,2000.0,,1000.0,19500.0,2000.0,2334.0,,3600.0,73890.0,22348.0,103000.0,2550.0,178.0,1000.0,60.0,,,775.0,11600.0,9345.0,34150.0,58300.0,,0.0,0.0,337261.0,187000.0,0.0,1600.0,2540.0,2000.0,,4.0,,,245773.0,0.0,,0.0,1900.0,,52400.0,12500.0,,120.0,,2600.0,,,585262.0,1500.0,5533.0,50.0,,187000.0,0.0,,,12509.0,0.0,3000.0,,0.0,0.0,,,6000.0,7022.0,150.0,27500.0,680.0,,10500.0,4500.0,,,,0.0,,2700.0,,107010.0,2834.0,,0.0,,0.0,,4240.0,,3400.0,,17897.0,0.0,0.0,950.0
1962,18000.0,1500.0,160.0,331.0,179.0,18500.0,750.0,0.0,,8000.0,14000.0,34000.0,,200.0,4250.0,2100.0,2100.0,120.0,,6700.0,5000.0,57942.0,108000.0,3800.0,,1500.0,15021.0,5469.0,0.0,,,100000.0,0.0,0.0,0.0,272310.0,3000.0,,1000.0,20000.0,2000.0,2300.0,,3600.0,62263.0,15170.0,129941.0,2550.0,152.0,1000.0,70.0,,,738.0,12700.0,7503.0,43900.0,65400.0,,0.0,0.0,237906.0,190000.0,0.0,1700.0,2654.0,2000.0,,4.0,,,157557.0,0.0,,0.0,2000.0,,72500.0,8900.0,,120.0,,2300.0,,,329562.0,1500.0,8508.0,50.0,,190000.0,0.0,,,22030.0,0.0,3000.0,,0.0,0.0,,,6000.0,6577.0,250.0,28100.0,680.0,,12600.0,6000.0,,,,0.0,,2700.0,,122516.0,3117.0,,0.0,,0.0,,3520.0,,3400.0,,20833.0,0.0,0.0,980.0
1963,23000.0,1500.0,170.0,356.0,176.0,19500.0,1000.0,0.0,,8000.0,15000.0,23000.0,,200.0,4400.0,2200.0,1600.0,125.0,,5800.0,4000.0,54741.0,149000.0,4000.0,,1550.0,15867.0,4550.0,0.0,,,105000.0,0.0,0.0,0.0,232590.0,3000.0,,1000.0,20600.0,2000.0,2400.0,,3600.0,60686.0,22544.0,134801.0,3260.0,180.0,1000.0,80.0,,,777.0,9700.0,8577.0,44200.0,40350.0,,0.0,0.0,269686.0,200200.0,0.0,1800.0,2731.0,2000.0,,4.0,,,309356.0,0.0,,0.0,2250.0,,52600.0,7400.0,,125.0,,1800.0,,,459804.0,2000.0,12532.0,50.0,,200200.0,0.0,,,24675.0,0.0,3000.0,,0.0,0.0,,,6000.0,7482.0,450.0,23600.0,700.0,,10700.0,6000.0,,,,0.0,,2700.0,,84625.0,4306.0,,0.0,,0.0,,1090.0,,3400.0,,19409.0,0.0,0.0,1000.0
1964,25000.0,1500.0,170.0,324.0,174.0,20500.0,800.0,0.0,,10400.0,19000.0,30000.0,,250.0,3175.0,2300.0,2264.0,125.0,,7100.0,3000.0,54387.0,156000.0,4300.0,,1550.0,13774.0,4530.0,0.0,,,109000.0,0.0,0.0,0.0,344415.0,3000.0,,1000.0,21000.0,2000.0,2550.0,,3600.0,60233.0,21810.0,130844.0,3360.0,150.0,1000.0,90.0,,,784.0,10600.0,9056.0,44200.0,44300.0,,0.0,0.0,274529.0,199250.0,0.0,1800.0,2611.0,2000.0,,6.0,,,241801.0,0.0,,0.0,2350.0,,73700.0,6500.0,,125.0,,1600.0,,,464258.0,1600.0,13672.0,50.0,,199250.0,0.0,,,23030.0,0.0,3000.0,,0.0,0.0,,,6400.0,6772.0,600.0,28500.0,700.0,,11200.0,10000.0,,,,0.0,,2700.0,,111734.0,5000.0,,0.0,,0.0,,2710.0,,3400.0,,22543.0,0.0,0.0,1000.0
1965,26400.0,1500.0,180.0,303.0,173.0,21500.0,900.0,0.0,,10000.0,22000.0,41000.0,,300.0,3950.0,2400.0,1950.0,125.0,,8000.0,3000.0,55260.0,136000.0,4400.0,,1600.0,17118.0,4890.0,0.0,,,114000.0,0.0,0.0,0.0,204670.0,3283.0,,1000.0,21500.0,2000.0,2700.0,,3600.0,66278.0,14812.0,109644.0,4100.0,130.0,1000.0,100.0,,,789.0,6259.0,13184.0,41800.0,47250.0,,0.0,0.0,279338.0,209400.0,0.0,1900.0,3436.0,2000.0,,6.0,,,263829.0,0.0,,0.0,2670.0,,78800.0,6457.0,,125.0,,2900.0,,,447764.0,2400.0,8557.0,50.0,,209400.0,0.0,,,20030.0,0.0,3000.0,,0.0,0.0,,,6200.0,3958.0,800.0,26200.0,700.0,,12300.0,4000.0,,,,0.0,,1700.0,,69943.0,6000.0,,0.0,,0.0,,8800.0,,3400.0,,26095.0,0.0,0.0,1030.0
1966,27000.0,1500.0,180.0,281.0,181.0,23000.0,1000.0,0.0,,10900.0,23000.0,53900.0,,350.0,3879.0,2500.0,1724.0,130.0,,9800.0,4000.0,69896.0,119000.0,4600.0,,1600.0,21378.0,5063.0,0.0,,,119818.0,0.0,0.0,0.0,331900.0,3678.0,,1100.0,22000.0,2000.0,2850.0,,3600.0,69014.0,20061.0,119921.0,4271.0,100.0,1000.0,115.0,,,827.0,10498.0,13607.0,40500.0,37310.0,,0.0,0.0,263001.0,206750.0,0.0,2000.0,3749.0,2000.0,,6.0,,,252684.0,0.0,,0.0,2430.0,,86500.0,5738.0,,130.0,,2832.0,,,476163.0,2400.0,13457.0,60.0,,206750.0,0.0,,,20050.0,0.0,3000.0,,0.0,0.0,,,5700.0,5889.0,810.0,33600.0,720.0,,13000.0,6500.0,,,,0.0,,3100.0,,109147.0,6000.0,,0.0,,0.0,,6620.0,,3400.0,,25472.0,0.0,0.0,1050.0
1967,33000.0,1500.0,200.0,248.0,148.0,24000.0,1200.0,0.0,,12800.0,24000.0,41800.0,,450.0,7905.0,2600.0,1590.0,130.0,,7700.0,4000.0,59025.0,101000.0,4800.0,,1650.0,18090.0,5012.0,0.0,,,125182.0,0.0,0.0,0.0,233800.0,3840.0,,1200.0,22500.0,2000.0,3050.0,,3600.0,79186.0,20208.0,101299.0,4376.0,100.0,1000.0,145.0,,,821.0,14546.0,13026.0,39650.0,41320.0,,0.0,0.0,307565.0,208200.0,0.0,2000.0,4278.0,2000.0,,10.0,,,254451.0,0.0,,0.0,2800.0,,87200.0,6541.0,,130.0,,2604.0,,,483684.0,2400.0,11853.0,182.0,,208200.0,0.0,,,20050.0,0.0,3000.0,,0.0,0.0,,,5818.0,5212.0,1420.0,39700.0,730.0,,12000.0,5500.0,,,,0.0,,3100.0,,118040.0,7000.0,,0.0,,0.0,,5550.0,,3400.0,,27760.0,0.0,0.0,1100.0
1968,37000.0,1800.0,210.0,266.0,196.0,25500.0,1200.0,0.0,,9500.0,25000.0,29200.0,,200.0,6809.0,2700.0,1412.0,130.0,,12300.0,4000.0,75222.0,185900.0,4900.0,,1650.0,16934.0,6570.0,0.0,,,132542.0,0.0,0.0,0.0,323000.0,1228.0,,1200.0,23000.0,2000.0,2900.0,,3700.0,77041.0,16522.0,97748.0,4961.0,70.0,1000.0,150.0,,,816.0,14350.0,15376.0,29200.0,71830.0,,0.0,0.0,269569.0,211000.0,0.0,2200.0,5284.0,2000.0,,10.0,,,253305.0,0.0,,0.0,2650.0,,96000.0,6850.0,,130.0,,2588.0,,,537109.0,2400.0,12850.0,305.0,,211000.0,0.0,,,17130.0,0.0,3000.0,,0.0,0.0,,,4497.0,10108.0,2050.0,48200.0,740.0,,13700.0,7000.0,,,,0.0,,3100.0,,99353.0,7000.0,,0.0,,0.0,,5380.0,,3400.0,,33814.0,0.0,0.0,1160.0
1969,32000.0,1800.0,210.0,264.0,194.0,26500.0,1250.0,0.0,,8200.0,25000.0,37600.0,,200.0,4050.0,2800.0,1498.0,275.0,,6100.0,4000.0,63999.0,154200.0,5000.0,,1700.0,18284.0,6160.0,0.0,,,130438.0,0.0,0.0,0.0,325000.0,83.0,,1200.0,23500.0,2000.0,3000.0,,3900.0,68825.0,15128.0,106111.0,4892.0,70.0,1000.0,175.0,,,810.0,12748.0,20215.0,46714.0,64840.0,,0.0,0.0,220069.0,222500.0,0.0,2300.0,5284.0,2000.0,,10.0,,,320215.0,0.0,,0.0,3250.0,,99300.0,6718.0,,135.0,,3569.0,,,404044.0,2300.0,14850.0,410.0,,222500.0,0.0,,,15530.0,0.0,3000.0,,0.0,0.0,,,2466.0,9953.0,2350.0,48600.0,750.0,,13300.0,7000.0,,,,0.0,,3100.0,,100081.0,6200.0,,0.0,,0.0,,2340.0,140.0,3400.0,,31797.0,0.0,0.0,1220.0
1970,46000.0,1800.0,210.0,279.0,182.0,28000.0,1400.0,0.0,,23200.0,25000.0,32600.0,,200.0,5730.0,2900.0,1916.0,258.0,,10515.0,4000.0,125389.0,184000.0,5300.0,,1700.0,20413.0,6150.0,0.0,,,137319.0,0.0,0.0,0.0,440400.0,0.0,,1300.0,24000.0,2000.0,3100.0,,4300.0,69901.0,24616.0,88441.0,5516.0,97.0,1000.0,180.0,,,804.0,15036.0,21425.0,44353.0,58140.0,,0.0,0.0,281410.0,229850.0,0.0,2400.0,4740.0,2500.0,,10.0,,,298660.0,0.0,,0.0,2980.0,,111145.0,8677.0,,135.0,,3787.0,,,464333.0,2250.0,15850.0,627.0,,229850.0,0.0,,,13510.0,0.0,3000.0,,0.0,0.0,,30.0,3000.0,11167.0,2300.0,48300.0,800.0,,13200.0,7500.0,,,,0.0,,3100.0,,118169.0,8500.0,,0.0,,0.0,,2770.0,123.0,3300.0,,29498.0,0.0,0.0,1280.0
