,Solomon Islands,Melanesia
1961,20.0,20.0
1962,20.0,20.0
1963,20.0,20.0
1964,25.0,25.0
1965,30.0,30.0
1966,35.0,35.0
1967,45.0,45.0
1968,20.0,20.0
1969,20.0,20.0
1970,20.0,20.0
1971,21.0,21.0
1972,21.0,21.0
1973,21.0,21.0
1974,21.0,21.0
1975,21.0,21.0
1976,21.0,21.0
1977,21.0,21.0
1978,22.0,22.0
1979,22.0,22.0
1980,22.0,22.0
1981,22.0,22.0
1982,21.0,21.0
1983,21.0,21.0
1984,21.0,21.0
1985,21.0,21.0
1986,21.0,21.0
1987,21.0,21.0
1988,21.0,21.0
1989,21.0,21.0
1990,24.0,24.0
1991,33.0,33.0
1992,21.0,21.0
1993,21.0,21.0
1994,21.0,21.0
1995,23.0,23.0
1996,27.0,27.0
1997,32.0,32.0
1998,40.0,40.0
1999,24.0,24.0
2000,25.0,25.0
2001,26.0,26.0
2002,27.0,27.0
2003,28.0,28.0
2004,28.0,28.0
2005,29.0,29.0
2006,28.0,28.0
2007,28.0,28.0
2008,30.0,30.0
2009,30.0,30.0
2010,30.0,30.0
2011,30.0,30.0
2012,30.0,30.0
2013,31.0,31.0
2014,32.0,32.0
