,Slovakia,Romania,Norway,Australia,Belgium,Luxembourg,Czechia,Italy,Germany,Croatia,Latvia,Slovenia,Brazil,Australia & New Zealand,Serbia,Switzerland,Chile,Canada,Belgium-Luxembourg,Spain,Kyrgyzstan,Austria,Poland,Turkey,Belarus,Denmark,Estonia,Greece,Czechoslovakia,France,Bosnia and Herzegovina,Hungary,Russian Federation,Bulgaria,Tunisia,Mexico,"China, mainland",Sweden,United Kingdom,Algeria,Lithuania,Portugal,Netherlands,China
1961,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,,-1.0,,-1.0,,,,
1962,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,,-1.0,,-1.0,,,,
1963,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,,-1.0,,-1.0,,,,
1964,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,,-1.0,,-1.0,,,,
1965,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,,-1.0,,-1.0,,,,
1966,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,,-1.0,,-1.0,,,,
1967,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,,-1.0,,-1.0,,,,
1968,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,,-1.0,,-1.0,,,,
1969,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,,,-1.0
1970,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,,,-1.0
1971,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,,,-1.0
1972,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,,,-1.0
1973,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,,,-1.0
1974,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,,,-1.0
1975,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,467.0,-1.0,,-1.0,,,,467.0
1976,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,,,-1.0,-1.0,-1.0,733.0,-1.0,,-1.0,,,,733.0
1977,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,2983.0,,-1.0,-1.0,-1.0,5866.0,-1.0,,-1.0,,,,5866.0
1978,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,-1.0,,,,1923.0,,-1.0,-1.0,-1.0,17300.0,-1.0,,-1.0,,,,17300.0
1979,,-1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,8500.0,,-1.0,,-1.0,,-1.0,,-1.0,,,,906.0,,-1.0,-1.0,-1.0,28000.0,-1.0,,-1.0,,,,28000.0
1980,,-1.0,-1.0,26000.0,,,,,,,,,-1.0,26000.0,,,-1.0,-1.0,,10000.0,,-1.0,,-1.0,,-1.0,,-1.0,,,,1242.0,,-1.0,-1.0,800.0,53300.0,-1.0,,-1.0,,,,53300.0
1981,,-1.0,-1.0,64000.0,,,,,,,,,-1.0,64000.0,,,-1.0,-1.0,,2000.0,,-1.0,,-1.0,,-1.0,,-1.0,,,,965.0,,-1.0,-1.0,8.0,2000.0,-1.0,,-1.0,,,,2000.0
1982,,-1.0,-1.0,92000.0,,,,,,,,,-1.0,92000.0,,,-1.0,-1.0,,1300.0,,-1.0,,-1.0,,-1.0,,-1.0,,,,113.0,,-1.0,-1.0,2.0,1400.0,-1.0,,-1.0,,,,1400.0
1983,,-1.0,-1.0,117000.0,,,,,,,,,-1.0,117000.0,,,-1.0,-1.0,,1300.0,,-1.0,,-1.0,,-1.0,,-1.0,,,,150.0,,-1.0,-1.0,34.0,1000.0,-1.0,,-1.0,,,,1000.0
1984,,-1.0,-1.0,139821.0,,,,,,,,,-1.0,139821.0,,,-1.0,-1.0,,7500.0,,-1.0,,-1.0,,-1.0,,-1.0,,37000.0,,83.0,,-1.0,-1.0,203.0,890.0,-1.0,,-1.0,,,,890.0
1985,,-1.0,-1.0,137000.0,,,,4000.0,50.0,,,,-1.0,137000.0,,1200.0,-1.0,-1.0,2161.0,3500.0,,-1.0,20000.0,-1.0,,-1.0,,-1.0,,57000.0,,10.0,,-1.0,-1.0,344.0,866.0,-1.0,4000.0,-1.0,,2500.0,,866.0
1986,,-1.0,-1.0,148000.0,,,,3000.0,790.0,,,,-1.0,148000.0,,3100.0,-1.0,-1.0,4172.0,7000.0,,-1.0,75000.0,-1.0,,-1.0,,-1.0,,99000.0,,130.0,,-1.0,-1.0,1143.0,952.0,-1.0,4000.0,-1.0,,17794.0,,952.0
1987,,-1.0,-1.0,136000.0,,,,4000.0,18084.0,,,,-1.0,136000.0,,7320.0,-1.0,-1.0,7141.0,37000.0,,-1.0,310825.0,-1.0,,-1.0,,-1.0,,126000.0,,100.0,,-1.0,-1.0,652.0,1500.0,-1.0,4000.0,-1.0,,22695.0,,1500.0
