,Belarus,Croatia,Serbia,Israel,Armenia,Syrian Arab Republic,Ethiopia,The former Yugoslav Republic of Macedonia,Greece,Iraq,Sweden,Cyprus,Eritrea,Bulgaria,Australia & New Zealand,Yugoslav SFR,Serbia and Montenegro,Algeria,Slovenia,Czechoslovakia,Czechia,Ukraine,Germany,Austria,Morocco,Ethiopia PDR,USSR,Mexico,Slovakia,Italy,Spain,Egypt,Bosnia and Herzegovina,Tunisia,Malta,Latvia,Albania,Lebanon,Occupied Palestinian Territory,Hungary,Kazakhstan,Australia,Jordan,Lithuania,Poland,Russian Federation,Republic of Moldova,Turkey
1961,-1.0,-1.0,-1.0,150.0,-1,26045.0,-1.0,-1.0,42620.0,570.0,11500.0,6989.0,-1.0,25256.0,272.0,135000.0,-1.0,500.0,-1.0,25199.0,-1.0,-1.0,10379.0,1056.0,2565.0,20000.0,1195000.0,-1.0,-1.0,24560.0,49800.0,-1.0,-1.0,-1.0,1731.0,-1.0,2360.0,2800.0,-1.0,14596.0,-1,272.0,6400.0,-1.0,47000.0,-1.0,-1.0,219000.0
1962,-1.0,-1.0,-1.0,150.0,-1,49204.0,-1.0,-1.0,47967.0,722.0,6450.0,8356.0,-1.0,14227.0,272.0,114000.0,-1.0,500.0,-1.0,19917.0,-1.0,-1.0,12504.0,1077.0,14097.0,20000.0,1580000.0,-1.0,-1.0,21190.0,60234.0,-1.0,-1.0,-1.0,2000.0,-1.0,2486.0,2200.0,-1.0,8511.0,-1,272.0,8000.0,-1.0,45000.0,-1.0,-1.0,204000.0
1963,-1.0,-1.0,-1.0,350.0,-1,39000.0,-1.0,-1.0,38967.0,643.0,6100.0,7773.0,-1.0,19395.0,299.0,113000.0,-1.0,500.0,-1.0,21690.0,-1.0,-1.0,9368.0,1488.0,9425.0,20000.0,930000.0,-1.0,-1.0,28040.0,62400.0,-1.0,-1.0,-1.0,1442.0,-1.0,2896.0,2400.0,-1.0,7743.0,-1,299.0,3600.0,-1.0,38000.0,-1.0,-1.0,212000.0
1964,-1.0,-1.0,-1.0,1450.0,-1,62400.0,-1.0,-1.0,34920.0,529.0,8100.0,4997.0,-1.0,19837.0,54.0,108000.0,-1.0,619.0,-1.0,18674.0,-1.0,-1.0,10969.0,1283.0,9570.0,21000.0,1674000.0,-1.0,-1.0,25580.0,51357.0,-1.0,-1.0,-1.0,1187.0,-1.0,2619.0,4050.0,-1.0,5161.0,-1,54.0,13200.0,-1.0,35000.0,-1.0,-1.0,201000.0
1965,-1.0,-1.0,-1.0,1500.0,-1,61100.0,-1.0,-1.0,35370.0,648.0,6400.0,6503.0,-1.0,12816.0,109.0,117000.0,-1.0,600.0,-1.0,18520.0,-1.0,-1.0,16210.0,1207.0,10000.0,22000.0,1190000.0,-1.0,-1.0,26620.0,54330.0,500.0,-1.0,-1.0,1219.0,-1.0,2000.0,4350.0,-1.0,11320.0,-1,109.0,15700.0,-1.0,62000.0,-1.0,-1.0,200000.0
1966,-1.0,-1.0,-1.0,1150.0,-1,21900.0,-1.0,-1.0,38864.0,818.0,5800.0,9551.0,-1.0,19183.0,136.0,113000.0,-1.0,145.0,-1.0,15622.0,-1.0,-1.0,12413.0,1744.0,10000.0,22000.0,1385000.0,-1.0,-1.0,21930.0,63000.0,1000.0,-1.0,-1.0,1016.0,-1.0,2900.0,3040.0,-1.0,10437.0,-1,136.0,6900.0,-1.0,50000.0,-1.0,-1.0,199000.0
1967,-1.0,-1.0,-1.0,2900.0,-1,54300.0,-1.0,-1.0,42692.0,1277.0,4800.0,7823.0,-1.0,13001.0,218.0,103000.0,-1.0,803.0,-1.0,15769.0,-1.0,-1.0,13032.0,1685.0,13500.0,22000.0,1570000.0,-1.0,-1.0,21050.0,55100.0,1000.0,-1.0,-1.0,1219.0,-1.0,2900.0,5317.0,-1.0,9683.0,-1,218.0,8100.0,-1.0,47000.0,-1.0,-1.0,204000.0
1968,-1.0,-1.0,-1.0,1900.0,-1,31100.0,-1.0,-1.0,22748.0,968.0,4600.0,6096.0,-1.0,4612.0,191.0,94000.0,-1.0,679.0,-1.0,12916.0,-1.0,-1.0,10246.0,1440.0,24200.0,20000.0,1520000.0,-1.0,-1.0,19660.0,54672.0,1000.0,-1.0,-1.0,1117.0,-1.0,2700.0,2631.0,-1.0,2875.0,-1,191.0,2300.0,-1.0,36000.0,-1.0,-1.0,201000.0
1969,-1.0,-1.0,-1.0,1550.0,-1,67100.0,-1.0,-1.0,19663.0,850.0,3700.0,7620.0,-1.0,6836.0,82.0,78000.0,-1.0,1105.0,-1.0,12289.0,-1.0,-1.0,9324.0,750.0,6800.0,20000.0,1745000.0,-1.0,-1.0,19690.0,58877.0,1000.0,-1.0,-1.0,1167.0,-1.0,2700.0,3675.0,-1.0,9495.0,-1,82.0,4718.0,-1.0,32000.0,-1.0,-1.0,171500.0
1970,-1.0,-1.0,-1.0,1580.0,-1,23600.0,-1.0,-1.0,24605.0,935.0,4200.0,6604.0,-1.0,6114.0,200.0,71000.0,-1.0,1169.0,-1.0,9346.0,-1.0,-1.0,8507.0,811.0,11000.0,20000.0,1785000.0,-1.0,-1.0,18720.0,55500.0,1000.0,-1.0,-1.0,1219.0,-1.0,2700.0,5049.0,-1.0,8730.0,-1,200.0,2531.0,-1.0,35000.0,-1.0,-1.0,167000.0
1971,-1.0,-1.0,-1.0,3250.0,-1,52300.0,-1.0,-1.0,24823.0,643.0,4400.0,9144.0,-1.0,3217.0,291.0,61000.0,-1.0,929.0,-1.0,7416.0,-1.0,-1.0,10672.0,748.0,21800.0,20000.0,1363000.0,-1.0,-1.0,13640.0,63500.0,1000.0,-1.0,-1.0,930.0,-1.0,2700.0,4183.0,-1.0,5766.0,-1,291.0,5133.0,-1.0,33000.0,-1.0,-1.0,172000.0
