,Belarus,Croatia,Serbia,Israel,Malta,Syrian Arab Republic,Ethiopia,The former Yugoslav Republic of Macedonia,Greece,Iraq,Sweden,Cyprus,Eritrea,Bulgaria,Australia & New Zealand,Yugoslav SFR,Serbia and Montenegro,Algeria,Slovenia,Morocco,Czechia,Ukraine,Germany,Austria,Czechoslovakia,Ethiopia PDR,USSR,Mexico,Slovakia,Italy,Spain,Egypt,Bosnia and Herzegovina,Tunisia,Latvia,Albania,Lebanon,Occupied Palestinian Territory,Hungary,Australia,Jordan,Lithuania,Poland,Russian Federation,Republic of Moldova,Turkey
1961,-1.0,-1.0,-1.0,5000.0,18573.0,5746.0,-1.0,-1.0,7573.0,6257.0,17774.0,6874.0,-1.0,4418.0,6716.0,31616.0,-1.0,5000.0,-1.0,2307.0,-1.0,-1.0,8291.0,15086.0,12909.0,6667.0,8386.0,-1.0,-1.0,7380.0,6513.0,-1.0,-1.0,-1.0,-1.0,3240.0,7000.0,-1.0,3775.0,6716.0,3983.0,-1.0,9400.0,-1.0,-1.0,9699.0
1962,-1.0,-1.0,-1.0,4412.0,20000.0,7807.0,-1.0,-1.0,8190.0,7705.0,13272.0,6940.0,-1.0,3713.0,6716.0,29457.0,-1.0,5000.0,-1.0,7553.0,-1.0,-1.0,9431.0,15000.0,9401.0,6667.0,9377.0,-1.0,-1.0,5973.0,7598.0,-1.0,-1.0,-1.0,-1.0,3688.0,7333.0,-1.0,2139.0,6716.0,4240.0,-1.0,9375.0,-1.0,-1.0,9169.0
1963,-1.0,-1.0,-1.0,5385.0,22889.0,6610.0,-1.0,-1.0,7767.0,6243.0,15197.0,6678.0,-1.0,6905.0,7383.0,30376.0,-1.0,5000.0,-1.0,4586.0,-1.0,-1.0,7096.0,16192.0,9564.0,6452.0,6200.0,-1.0,-1.0,7941.0,7570.0,-1.0,-1.0,-1.0,-1.0,4001.0,9600.0,-1.0,1809.0,7383.0,2419.0,-1.0,8085.0,-1.0,-1.0,9860.0
1964,-1.0,-1.0,-1.0,20000.0,19364.0,9469.0,-1.0,-1.0,8852.0,7678.0,18351.0,4669.0,-1.0,6727.0,1333.0,31395.0,-1.0,5246.0,-1.0,4691.0,-1.0,-1.0,7878.0,17314.0,8652.0,6563.0,11545.0,-1.0,-1.0,7596.0,6644.0,-1.0,-1.0,-1.0,-1.0,3766.0,9563.0,-1.0,1744.0,1333.0,8049.0,-1.0,7143.0,-1.0,-1.0,9805.0
1965,-1.0,-1.0,-1.0,10169.0,25134.0,8235.0,-1.0,-1.0,9323.0,9600.0,18675.0,10342.0,-1.0,4800.0,2691.0,33051.0,-1.0,6000.0,-1.0,4975.0,-1.0,-1.0,11723.0,16115.0,9606.0,6667.0,9203.0,-1.0,-1.0,8912.0,6423.0,-1.0,-1.0,-1.0,-1.0,2857.0,8447.0,-1.0,3913.0,2691.0,6372.0,-1.0,10690.0,-1.0,-1.0,10000.0
1966,-1.0,-1.0,-1.0,13529.0,20948.0,4187.0,-1.0,-1.0,11041.0,10381.0,17656.0,8399.0,-1.0,8447.0,3358.0,31921.0,-1.0,8056.0,-1.0,5000.0,-1.0,-1.0,9712.0,19313.0,9139.0,6286.0,10820.0,-1.0,-1.0,8196.0,7664.0,24390.0,-1.0,-1.0,-1.0,4028.0,6053.0,-1.0,2642.0,3358.0,4785.0,-1.0,8197.0,-1.0,-1.0,9707.0
1967,-1.0,-1.0,-1.0,12109.0,27393.0,10710.0,-1.0,-1.0,11321.0,11301.0,19070.0,10632.0,-1.0,6300.0,5383.0,31988.0,-1.0,8111.0,-1.0,6923.0,-1.0,-1.0,11009.0,19390.0,13696.0,6286.0,12391.0,-1.0,-1.0,8520.0,7250.0,23810.0,-1.0,-1.0,-1.0,4085.0,9401.0,-1.0,3522.0,5383.0,9278.0,-1.0,9038.0,-1.0,-1.0,9951.0
1968,-1.0,-1.0,-1.0,17925.0,25101.0,6171.0,-1.0,-1.0,9165.0,10243.0,19913.0,9113.0,-1.0,3877.0,4716.0,30128.0,-1.0,7805.0,-1.0,9603.0,-1.0,-1.0,10339.0,20140.0,13357.0,6061.0,13369.0,-1.0,-1.0,8284.0,7596.0,23810.0,-1.0,-1.0,-1.0,3913.0,4553.0,-1.0,2529.0,4716.0,3276.0,-1.0,8571.0,-1.0,-1.0,10152.0
1969,-1.0,-1.0,-1.0,10508.0,26225.0,10600.0,-1.0,-1.0,9705.0,10143.0,15501.0,10356.0,-1.0,7597.0,1014.0,30000.0,-1.0,5696.0,-1.0,4000.0,-1.0,-1.0,8537.0,19737.0,15679.0,6061.0,14826.0,-1.0,-1.0,8849.0,7805.0,23810.0,-1.0,-1.0,-1.0,3913.0,6725.0,-1.0,6400.0,1014.0,7469.0,-1.0,8205.0,-1.0,-1.0,9187.0
1970,-1.0,-1.0,-1.0,8564.0,30173.0,4470.0,-1.0,-1.0,11717.0,9894.0,18205.0,5876.0,-1.0,7009.0,2500.0,29707.0,-1.0,4266.0,-1.0,5500.0,-1.0,-1.0,9798.0,20025.0,13805.0,6061.0,15796.0,-1.0,-1.0,8891.0,7236.0,23810.0,-1.0,-1.0,-1.0,3913.0,8822.0,-1.0,6518.0,2500.0,3055.0,-1.0,8974.0,-1.0,-1.0,9335.0
1971,-1.0,-1.0,-1.0,10031.0,30795.0,8249.0,-1.0,-1.0,10793.0,9554.0,19766.0,7595.0,-1.0,5435.0,3597.0,27982.0,-1.0,4223.0,-1.0,9909.0,-1.0,-1.0,10196.0,19429.0,14490.0,5714.0,13979.0,-1.0,-1.0,9027.0,8038.0,23810.0,-1.0,-1.0,-1.0,4091.0,7280.0,-1.0,5279.0,3597.0,7442.0,-1.0,9706.0,-1.0,-1.0,10118.0
1972,-1.0,-1.0,-1.0,24472.0,32447.0,9669.0,-1.0,-1.0,11541.0,7760.0,19300.0,6075.0,-1.0,5536.0,10833.0,27292.0,-1.0,3904.0,-1.0,8392.0,-1.0,-1.0,8144.0,21662.0,11224.0,6053.0,11739.0,-1.0,-1.0,9540.0,7773.0,23810.0,-1.0,-1.0,-1.0,3788.0,7725.0,-1.0,2150.0,10833.0,9509.0,-1.0,8621.0,-1.0,-1.0,9075.0
