,Slovakia,Uzbekistan,Bhutan,USSR,Australia & New Zealand,Australia,Iraq,Pakistan,Ukraine,Belgium,Nepal,Luxembourg,Czechia,Republic of Moldova,Italy,Democratic People's Republic of Korea,Germany,Yemen,Slovenia,Serbia,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Montenegro,Argentina,Belgium-Luxembourg,New Caledonia,Kyrgyzstan,New Zealand,Cyprus,Austria,Poland,Turkey,Belarus,Afghanistan,Switzerland,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,France,Republic of Korea,Croatia,Hungary,Lebanon,Russian Federation,Portugal,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Romania,United States of America,Mexico,Spain,China,"China, mainland",Azerbaijan,India,Peru,Bosnia and Herzegovina,Bulgaria,Brazil
1961,,,-1.0,-1.0,0.0,-1.0,-1.0,550.0,,,-1.0,,,,33000.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,,-1.0,-1.0,47950.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,25.0,,-1.0,250.0,,2600.0,-1.0,4400.0,,-1.0,57590.0,792.0,190.0,-1.0,-1.0,,14000.0,-1.0,,-1.0,-1.0
1962,,,-1.0,-1.0,0.0,-1.0,-1.0,600.0,,,-1.0,,,,31000.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,,-1.0,-1.0,48600.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,25.0,,-1.0,250.0,,2600.0,-1.0,4400.0,,-1.0,57790.0,642.0,167.0,-1.0,-1.0,,14000.0,-1.0,,-1.0,-1.0
1963,,,-1.0,-1.0,0.0,-1.0,-1.0,650.0,,,-1.0,,,,29800.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,,-1.0,-1.0,49350.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,30.0,,-1.0,250.0,,2800.0,-1.0,2500.0,,-1.0,57020.0,685.0,163.0,-1.0,-1.0,,15000.0,-1.0,,-1.0,-1.0
1964,,,-1.0,-1.0,0.0,-1.0,-1.0,700.0,,,-1.0,,,,28400.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,80.0,-1.0,-1.0,49500.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,30.0,,-1.0,70.0,,2800.0,-1.0,2500.0,,-1.0,57950.0,709.0,167.0,-1.0,-1.0,,16000.0,-1.0,,-1.0,-1.0
1965,,,-1.0,-1.0,0.0,-1.0,-1.0,750.0,,,-1.0,,,,27600.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,80.0,-1.0,-1.0,49667.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,45.0,,-1.0,90.0,,2800.0,-1.0,2500.0,,-1.0,56860.0,852.0,191.0,-1.0,-1.0,,16000.0,-1.0,,-1.0,-1.0
1966,,,-1.0,-1.0,0.0,-1.0,-1.0,800.0,,,-1.0,,,,27200.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,80.0,-1.0,-1.0,50000.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,65.0,,-1.0,90.0,,3000.0,-1.0,2500.0,,-1.0,58920.0,878.0,182.0,-1.0,-1.0,,18000.0,-1.0,,-1.0,-1.0
1967,,,-1.0,-1.0,0.0,-1.0,-1.0,850.0,,,-1.0,,,,27000.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,100.0,-1.0,-1.0,49833.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,80.0,,-1.0,68.0,,3000.0,-1.0,2500.0,,-1.0,59250.0,932.0,184.0,-1.0,-1.0,,12500.0,-1.0,,-1.0,-1.0
1968,,,-1.0,-1.0,0.0,-1.0,-1.0,900.0,,,-1.0,,,,26700.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,100.0,-1.0,-1.0,46667.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,80.0,,-1.0,68.0,,3400.0,-1.0,3000.0,,-1.0,59570.0,1336.0,179.0,-1.0,-1.0,,16000.0,-1.0,,-1.0,-1.0
1969,,,-1.0,-1.0,0.0,-1.0,-1.0,950.0,,,-1.0,,,,26000.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,100.0,-1.0,-1.0,46667.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,70.0,,-1.0,68.0,,3430.0,-1.0,3000.0,,-1.0,60860.0,1467.0,176.0,-1.0,-1.0,,11000.0,-1.0,,-1.0,-1.0
1970,,,-1.0,-1.0,0.0,-1.0,-1.0,1000.0,,,-1.0,,,,24700.0,,-1.0,,,,-1.0,,,-1.0,,-1.0,,-1.0,-1.0,,,-1.0,120.0,-1.0,-1.0,47733.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,90.0,,-1.0,85.0,,3470.0,-1.0,2000.0,,-1.0,62000.0,1491.0,265.0,-1.0,-1.0,,16000.0,-1.0,,-1.0,-1.0
1971,,,-1.0,-1.0,0.0,-1.0,-1.0,1050.0,,,-1.0,,,,23300.0,,-1.0,,,,-1.0,,,-1.0,1.0,-1.0,,-1.0,-1.0,,,-1.0,120.0,-1.0,-1.0,50417.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,70.0,,-1.0,85.0,,3590.0,-1.0,1900.0,,-1.0,63290.0,1560.0,326.0,-1.0,-1.0,,12000.0,-1.0,,-1.0,-1.0
1972,,,-1.0,-1.0,0.0,-1.0,-1.0,1100.0,,,-1.0,,,,21600.0,,-1.0,,,,-1.0,,,-1.0,1.0,-1.0,,-1.0,-1.0,,,-1.0,161.0,-1.0,-1.0,51667.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,50.0,,-1.0,85.0,,3690.0,-1.0,1800.0,,-1.0,66000.0,1690.0,617.0,-1.0,-1.0,,16000.0,-1.0,,-1.0,-1.0
1973,,,-1.0,-1.0,0.0,-1.0,-1.0,1150.0,,,-1.0,,,,16400.0,,-1.0,,,,-1.0,,,-1.0,2.0,-1.0,,-1.0,-1.0,,,-1.0,161.0,-1.0,-1.0,53000.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,50.0,,-1.0,57.0,,3910.0,-1.0,1700.0,,-1.0,66040.0,1718.0,926.0,-1.0,-1.0,,15000.0,-1.0,,-1.0,-1.0
1974,,,-1.0,-1.0,0.0,-1.0,-1.0,1200.0,,,-1.0,,,,16300.0,,-1.0,,,,-1.0,,,-1.0,34.0,-1.0,,-1.0,-1.0,,,-1.0,161.0,-1.0,-1.0,53333.0,,,-1.0,-1.0,,,,-1.0,-1.0,-1.0,50.0,,-1.0,62.0,,4145.0,-1.0,1600.0,,-1.0,67900.0,1618.0,653.0,-1.0,-1.0,,11000.0,-1.0,,-1.0,-1.0
1975,,,-1.0,-1.0,0.0,-1.0,-1.0,1250.0,,,-1.0,,,,16200.0,,-1.0,,,,-1.0,,,-1.0,9.0,-1.0,,-1.0,-1.0,,,-1.0,161.0,-1.0,-1.0,54167.0,,0.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,70.0,,-1.0,60.0,,4363.0,-1.0,1500.0,,-1.0,68920.0,1582.0,719.0,-1.0,-1.0,,17000.0,-1.0,,-1.0,-1.0
1976,,,-1.0,-1.0,0.0,-1.0,-1.0,1300.0,,,-1.0,,,,14800.0,,-1.0,,,,-1.0,,,-1.0,2.0,-1.0,,-1.0,-1.0,,,-1.0,187.0,-1.0,-1.0,55000.0,,2300.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,70.0,,-1.0,60.0,,4272.0,-1.0,1500.0,,-1.0,70540.0,918.0,784.0,-1.0,-1.0,,18000.0,-1.0,,-1.0,-1.0
1977,,,-1.0,-1.0,0.0,-1.0,-1.0,1350.0,,,-1.0,,,,14700.0,,-1.0,,,,-1.0,,,-1.0,1.0,-1.0,,-1.0,-1.0,,,-1.0,187.0,-1.0,-1.0,56000.0,,2400.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,65.0,,-1.0,60.0,,4390.0,-1.0,1500.0,,-1.0,73170.0,850.0,756.0,-1.0,-1.0,,14000.0,-1.0,,-1.0,-1.0
1978,,,-1.0,-1.0,0.0,-1.0,-1.0,1400.0,,,-1.0,,,,14600.0,,-1.0,,,,-1.0,,,-1.0,13.0,-1.0,,-1.0,-1.0,,,-1.0,87.0,-1.0,-1.0,55000.0,,2400.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,100.0,,-1.0,70.0,,4493.0,-1.0,1500.0,,-1.0,73410.0,838.0,813.0,-1.0,-1.0,,23000.0,-1.0,,-1.0,-1.0
1979,,,-1.0,-1.0,0.0,-1.0,-1.0,1450.0,,,-1.0,,,,14500.0,,-1.0,,,,-1.0,,,-1.0,8.0,-1.0,,-1.0,-1.0,,,-1.0,87.0,-1.0,-1.0,55000.0,,2400.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,120.0,,-1.0,90.0,,4596.0,-1.0,1500.0,,-1.0,72520.0,917.0,803.0,-1.0,-1.0,,20000.0,-1.0,,-1.0,-1.0
1980,,,-1.0,-1.0,0.0,-1.0,-1.0,1500.0,,,-1.0,,,,14400.0,,-1.0,,,,-1.0,,,-1.0,1.0,-1.0,,-1.0,-1.0,,,-1.0,87.0,-1.0,-1.0,53833.0,,2400.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,250.0,,-1.0,90.0,,4730.0,-1.0,2200.0,,-1.0,72800.0,795.0,788.0,-1.0,-1.0,,20000.0,-1.0,,-1.0,-1.0
1981,,,-1.0,-1.0,0.0,-1.0,-1.0,1600.0,,,-1.0,,,,14200.0,,-1.0,4.0,,,-1.0,,,-1.0,2.0,-1.0,,-1.0,-1.0,,,-1.0,87.0,-1.0,-1.0,53000.0,,2400.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,100.0,,-1.0,90.0,,4848.0,-1.0,4800.0,,-1.0,70860.0,1223.0,868.0,-1.0,-1.0,,20000.0,-1.0,,-1.0,-1.0
1982,,,-1.0,-1.0,0.0,-1.0,-1.0,1634.0,,,-1.0,,,,14000.0,,-1.0,5.0,,,-1.0,,,-1.0,2.0,-1.0,,-1.0,-1.0,,,-1.0,87.0,-1.0,-1.0,53000.0,,2350.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,180.0,,-1.0,90.0,,3173.0,-1.0,6283.0,,-1.0,72030.0,1197.0,832.0,-1.0,-1.0,,22000.0,-1.0,,-1.0,-1.0
1983,,,-1.0,-1.0,0.0,-1.0,-1.0,1679.0,,,-1.0,,,,13730.0,,-1.0,5.0,,,-1.0,,,-1.0,3.0,-1.0,,-1.0,-1.0,,,-1.0,94.0,-1.0,-1.0,53333.0,,2350.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,200.0,,-1.0,100.0,,2252.0,-1.0,6733.0,,-1.0,71220.0,854.0,820.0,-1.0,-1.0,,22000.0,-1.0,,-1.0,-1.0
1984,,,-1.0,-1.0,0.0,-1.0,-1.0,1709.0,,,-1.0,,,,13644.0,,-1.0,5.0,,,-1.0,,,-1.0,3.0,-1.0,,-1.0,-1.0,,,-1.0,94.0,-1.0,-1.0,53750.0,,2350.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,300.0,,-1.0,135.0,,2281.0,-1.0,7468.0,,-1.0,72030.0,4591.0,939.0,-1.0,-1.0,,17000.0,-1.0,,-1.0,-1.0
1985,,,-1.0,33300.0,0.0,-1.0,1650.0,1735.0,,,-1.0,,,,13493.0,,5280.0,5.0,,,-1.0,,,5000.0,3.0,5500.0,,3300.0,-1.0,,,-1.0,134.0,4500.0,-1.0,54583.0,,2300.0,2000.0,-1.0,,,,20600.0,9600.0,17250.0,320.0,,7800.0,170.0,,2382.0,20200.0,7840.0,,3500.0,72440.0,4939.0,4200.0,55000.0,55000.0,,17000.0,-1.0,,13600.0,760.0
1986,,,-1.0,35500.0,0.0,-1.0,1650.0,1754.0,,,-1.0,,,,13299.0,,5280.0,5.0,,,-1.0,,,5000.0,3.0,5000.0,,3300.0,-1.0,,,-1.0,134.0,4500.0,-1.0,54000.0,,2300.0,2700.0,-1.0,,,,20300.0,9600.0,17450.0,405.0,,7800.0,200.0,,1400.0,20200.0,11347.0,,3000.0,72840.0,3950.0,4400.0,61000.0,61000.0,,20000.0,-1.0,,13600.0,820.0
1987,,,-1.0,37000.0,0.0,-1.0,1650.0,1762.0,,,-1.0,,,,12932.0,,5250.0,7.0,,,-1.0,,,5000.0,3.0,4600.0,,3300.0,,,,-1.0,147.0,4500.0,-1.0,54250.0,,2300.0,2200.0,-1.0,,,,19700.0,9500.0,17665.0,410.0,,6600.0,230.0,,1500.0,20000.0,8951.0,,2800.0,71220.0,2350.0,4400.0,65000.0,65000.0,,22000.0,-1.0,,13600.0,820.0
1988,,,-1.0,40900.0,0.0,-1.0,1650.0,1742.0,,,-1.0,,,,6492.0,,5280.0,7.0,,,-1.0,,,5000.0,3.0,5800.0,,3300.0,,,,-1.0,170.0,4500.0,-1.0,54633.0,,2250.0,2100.0,-1.0,,,,19000.0,9500.0,15200.0,540.0,,6600.0,270.0,,1700.0,20000.0,10544.0,,2500.0,71630.0,1400.0,4800.0,77000.0,77000.0,,22000.0,-1.0,,13600.0,860.0
1989,,,-1.0,42000.0,0.0,-1.0,1650.0,1722.0,,,-1.0,,,,6324.0,,5140.0,0.0,,,-1.0,,,5000.0,3.0,5600.0,,3300.0,,,,-1.0,205.0,4500.0,-1.0,54583.0,,2200.0,1700.0,-1.0,,,,18200.0,9500.0,13630.0,535.0,,6600.0,290.0,,1850.0,20600.0,12143.0,,2500.0,72440.0,350.0,4900.0,72000.0,72000.0,,24500.0,-1.0,,14233.0,860.0
1990,,,-1.0,43600.0,0.0,-1.0,1745.0,1749.0,,,720.0,,,,6036.0,,5120.0,0.0,,,-1.0,,,5149.0,-1.0,6400.0,,3833.0,220.0,,,-1.0,220.0,5000.0,200.0,54133.0,,2300.0,800.0,-1.0,,,,17800.0,9164.0,12950.0,410.0,,6367.0,300.0,,1950.0,20000.0,15025.0,,2412.0,73250.0,500.0,5000.0,68000.0,68000.0,,24600.0,-1.0,,13730.0,1450.0
1991,,,-1.0,44059.0,1035.0,161.0,1833.0,1691.0,,,750.0,,,,5845.0,,5120.0,0.0,,,-1.0,,,3386.0,-1.0,6955.0,,3234.0,220.0,,,874.0,220.0,4030.0,188.0,55633.0,,2300.0,600.0,-1.0,,,,17100.0,9300.0,12400.0,420.0,,5800.0,330.0,,2000.0,19713.0,20943.0,,2400.0,73250.0,1550.0,5400.0,75167.0,75167.0,,25800.0,301.0,,14079.0,2000.0
