,Ukraine,Peru,Georgia,Belarus,Croatia,Serbia,India,Melanesia,Armenia,Brazil,Belgium,Nepal,Pakistan,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Iraq,Republic of Korea,Cyprus,Spain,New Zealand,New Caledonia,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Slovenia,Czechoslovakia,Kyrgyzstan,Argentina,Luxembourg,Democratic People's Republic of Korea,Germany,Austria,Morocco,Bhutan,Switzerland,Mexico,USSR,Romania,Azerbaijan,Jordan,Bosnia and Herzegovina,China,Uzbekistan,Yugoslav SFR,Portugal,Slovakia,Lebanon,Czechia,Yemen,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Australia,France,Egypt,Republic of Moldova,Poland,"China, mainland",Russian Federation,Turkey,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12000.0,-1,-1.0,319.0,-1.0,-1.0,5500.0,-1.0,17960.0,-1.0,1000.0,50.0,-1.0,15261.0,178.0,-1,14934.0,295.0,61235.0,8000.0,-1.0,-1.0,17348.0,-1.0,3845.0,-1.0,-1,5448.0,7022.0,4479.0,-1.0,4500.0,3481.0,12800.0,36000.0,-1.0,-1.0,-1.0,40000.0,-1.0,27700.0,7000.0,-1.0,700.0,-1.0,-1.0,-1.0,-1.0,10600.0,-1.0,-1.0,117.0,27800.0,-1.0,-1.0,-1.0,40000.0,-1,80500.0,71300.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12000.0,-1,-1.0,312.0,-1.0,-1.0,6000.0,-1.0,21200.0,-1.0,1100.0,50.0,-1.0,14606.0,152.0,-1,18474.0,270.0,72484.0,8000.0,-1.0,-1.0,11170.0,-1.0,5379.0,-1.0,-1,8431.0,6577.0,5000.0,-1.0,6000.0,2674.0,13500.0,34000.0,-1.0,-1.0,-1.0,40000.0,-1.0,41100.0,6500.0,-1.0,350.0,-1.0,-1.0,-1.0,-1.0,9700.0,-1.0,-1.0,118.0,34880.0,-1.0,-1.0,-1.0,40000.0,-1,84930.0,65500.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13000.0,-1,-1.0,468.0,-1.0,-1.0,6500.0,-1.0,15765.0,-1.0,1200.0,60.0,-1.0,13686.0,180.0,-1,16778.0,292.0,75387.0,3000.0,-1.0,-1.0,16544.0,-1.0,4450.0,-1.0,-1,12450.0,7482.0,5625.0,-1.0,6000.0,2978.0,17300.0,23000.0,-1.0,-1.0,-1.0,46000.0,-1.0,35900.0,6500.0,-1.0,400.0,-1.0,-1.0,-1.0,-1.0,11800.0,-1.0,-1.0,112.0,37275.0,-1.0,-1.0,-1.0,46000.0,-1,82090.0,67200.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1,-1.0,297.0,-1.0,-1.0,7000.0,-1.0,18125.0,-1.0,1300.0,60.0,71.0,12929.0,150.0,-1,19496.0,270.0,81828.0,3000.0,-1.0,-1.0,15810.0,-1.0,4430.0,-1.0,-1,13672.0,6772.0,7000.0,-1.0,10000.0,3108.0,18800.0,30000.0,-1.0,-1.0,-1.0,42000.0,-1.0,35100.0,6500.0,-1.0,375.0,-1.0,-1.0,-1.0,-1.0,10400.0,-1.0,-1.0,120.0,38764.0,-1.0,-1.0,-1.0,42000.0,-1,86000.0,60300.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1,-1.0,448.0,-1.0,-1.0,7500.0,-1.0,20526.0,-1.0,1500.0,100.0,51.0,13338.0,130.0,-1,23240.0,218.0,72846.0,4000.0,-1.0,-1.0,10812.0,-1.0,4780.0,-1.0,-1,8557.0,3958.0,7000.0,-1.0,4000.0,3818.0,19500.0,41000.0,-1.0,-1.0,-1.0,48000.0,-1.0,28800.0,6500.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,12967.0,-1.0,-1.0,88.0,24954.0,-1.0,-1.0,-1.0,48000.0,-1,81000.0,69600.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1,-1.0,604.0,-1.0,-1.0,8000.0,-1.0,20851.0,-1.0,1200.0,137.0,71.0,11201.0,100.0,-1,22076.0,207.0,87089.0,3000.0,-1.0,-1.0,17061.0,-1.0,4943.0,-1.0,-1,13457.0,5889.0,5000.0,-1.0,6500.0,4016.0,20200.0,53900.0,-1.0,-1.0,-1.0,42000.0,-1.0,31800.0,6500.0,-1.0,387.0,-1.0,-1.0,-1.0,-1.0,14782.0,-1.0,-1.0,107.0,37121.0,-1.0,-1.0,-1.0,42000.0,-1,80000.0,70400.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1,-1.0,534.0,-1.0,-1.0,8500.0,-1.0,22945.0,-1.0,1750.0,175.0,102.0,10065.0,100.0,-1,23274.0,175.0,69308.0,4000.0,-1.0,-1.0,17208.0,-1.0,4894.0,-1.0,-1,11853.0,5212.0,4000.0,-1.0,5500.0,4396.0,24700.0,41800.0,-1.0,-1.0,-1.0,41000.0,-1.0,29300.0,6500.0,-1.0,757.0,-1.0,-1.0,-1.0,-1.0,14269.0,-1.0,-1.0,75.0,31630.0,-1.0,-1.0,-1.0,41000.0,-1,88000.0,79300.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1,-1.0,424.0,-1.0,-1.0,9000.0,-1.0,25021.0,-1.0,1300.0,168.0,102.0,11869.0,70.0,-1,27688.0,182.0,86726.0,6000.0,-1.0,-1.0,11522.0,-1.0,6390.0,-1.0,-1,12850.0,10108.0,6000.0,-1.0,7000.0,5462.0,27700.0,29200.0,-1.0,-1.0,-1.0,40000.0,-1.0,20200.0,6600.0,-1.0,952.0,-1.0,-1.0,-1.0,-1.0,13315.0,-1.0,-1.0,112.0,34375.0,-1.0,-1.0,-1.0,40000.0,-1,96000.0,81100.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1,-1.0,431.0,-1.0,-1.0,9500.0,-1.0,23862.0,-1.0,2000.0,158.0,102.0,11469.0,70.0,-1,25550.0,192.0,95707.0,6000.0,-1.0,-1.0,10128.0,-1.0,5900.0,-1.0,-1,14850.0,9953.0,6000.0,-1.0,7000.0,10387.0,24000.0,37600.0,-1.0,-1.0,-1.0,47000.0,-1.0,39262.0,7160.0,-1.0,612.0,-1.0,-1.0,-1.0,-1.0,14210.0,-1.0,-1.0,122.0,36840.0,-1.0,-1.0,-1.0,47000.0,-1,84000.0,80100.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1,-1.0,476.0,-1.0,-1.0,10000.0,-1.0,25104.0,-1.0,1500.0,183.0,168.0,7910.0,97.0,-1,24168.0,200.0,101423.0,4000.0,-1.0,-1.0,17616.0,-1.0,5800.0,-1.0,-1,15850.0,11167.0,4000.0,-1.0,7500.0,7106.0,34500.0,32600.0,-1.0,-1.0,-1.0,51000.0,-1.0,33945.0,4440.0,-1.0,1109.0,-1.0,-1.0,-1.0,-1.0,16035.0,-1.0,-1.0,103.0,37660.0,-1.0,-1.0,-1.0,51000.0,-1,103000.0,82200.0,-1.0
