,Slovakia,Romania,USSR,Australia & New Zealand,Australia,Iraq,Pakistan,Ukraine,Belgium,Nepal,Luxembourg,Czechia,Republic of Moldova,Italy,Serbia,Germany,Yemen,Slovenia,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Montenegro,Argentina,Belgium-Luxembourg,Spain,Kyrgyzstan,India,Austria,Poland,Belarus,Afghanistan,Switzerland,Egypt,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,France,Republic of Korea,Croatia,Hungary,Lebanon,Turkey,Bulgaria,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Mexico,China,"China, mainland",Azerbaijan,Cyprus,Kazakhstan,Bosnia and Herzegovina,Portugal,Brazil
1961,,,,,,,100000.0,,,,,,,21606.0,,,,,,,,,,,,,,,803211.0,,8571.0,,,,,,,,,,,,20000.0,,,28000.0,16788.0,,,18182.0,,10633.0,43952.0,,,,,,,26923.0,
1962,,,,,,,100000.0,,,,,,,21129.0,,,,,,,,,,,,,,,874611.0,,8571.0,,,,,,,,,,,,20000.0,,,14000.0,17475.0,,,18182.0,,12543.0,41651.0,,,,,,,25000.0,
1963,,,,,,,100000.0,,,,,,,22550.0,,,,,,,,,,,,,,,839632.0,,8667.0,,,,,,,,,,,,20000.0,,,16000.0,16634.0,,,12000.0,,13221.0,43474.0,,,,,,,23214.0,
1964,,,,,,,100000.0,,,,,,,21232.0,,,,,,,,,,,,,,,774192.0,,8750.0,,,,,,,,,,,,20000.0,,,53571.0,17374.0,,,12000.0,,14120.0,43836.0,,,,8875.0,,,23214.0,
1965,,,,,,,100000.0,,,,,,,25217.0,,,,,,,,,,,,,,,698325.0,,8750.0,,,,,,,,,,,,22222.0,,,50000.0,16309.0,,,16000.0,,12811.0,44812.0,,,,6375.0,,,23214.0,
1966,,,,,,,100000.0,,,,,,,25882.0,,,,,,,,,,,,,,,615440.0,,8889.0,,,,,,,,,,,,21077.0,,,43000.0,16000.0,,,12000.0,,14781.0,45740.0,,,,8875.0,,,21667.0,
1967,,,,,,,100000.0,,,,,,,29370.0,,,,,,,,,,,,,,,547011.0,,8800.0,,,,,,,,,,,,21875.0,,,111324.0,17659.0,,,16000.0,,11698.0,47167.0,,,,10200.0,,,21667.0,
1968,,,,,,,100000.0,,,,,,,30375.0,,,,,,,,,,,,,,,663073.0,,8750.0,,,,,,,,,,,,21000.0,,,140000.0,20571.0,,,20000.0,,14559.0,40883.0,,,,10200.0,,,19412.0,
1969,,,,,,,100000.0,,,,,,,30808.0,,,,,,,,,,,,,,,651648.0,,9091.0,,,,,,,,,,,,22571.0,,,90000.0,18000.0,,,20000.0,,15726.0,70804.0,,,,10200.0,,,20875.0,
1970,,,,,,,100000.0,,,,,,,33279.0,,,,,,,,,,,,,,,298491.0,,8750.0,,,,,,,,,,,,20333.0,,,130471.0,21578.0,,,20000.0,,16359.0,47659.0,,,,14000.0,,,12795.0,
1971,,,,,,,100000.0,,,,,,,36352.0,,,,,,,,,,10000.0,,,,,192515.0,,9167.0,,,,,,,,,,,,21429.0,,,116706.0,21823.0,,,18421.0,,19551.0,45962.0,,,,14833.0,,,19582.0,
1972,,,,,,,100000.0,,,,,,,35741.0,,,,,,,,,,10000.0,,,,,117342.0,,8750.0,,,,,,,,,,,,21400.0,,,107647.0,21948.0,,,17778.0,,16054.0,35769.0,,,,11056.0,,,16504.0,
1973,,,,,,,100000.0,,,,,,,46707.0,,,,,,,,,,15000.0,,,,,119168.0,,9000.0,,,,,,,,,,,,21400.0,,,202105.0,20755.0,,,17647.0,,24040.0,46589.0,,,,9441.0,,,18696.0,
1974,,,,,,,100000.0,,,,,,,40061.0,,,,,,,,,,28824.0,,,,,142649.0,,8636.0,,,,,,,,,,,,22800.0,,,246290.0,20625.0,,,20625.0,,20909.0,41384.0,,,,9441.0,,,14403.0,
1975,,,,,,,100000.0,,,,,,,37222.0,,,,,,,,,,34444.0,,,,,110974.0,,8824.0,,,,,,,,,,,,23714.0,,,216667.0,21600.0,,,20667.0,,26233.0,38034.0,,,,9441.0,,,10800.0,
1976,,,,,,,100000.0,,,,,,,33108.0,,,,,,,,,,40000.0,,,,,124821.0,,8889.0,,,,23043.0,,,,,,,,22857.0,,,200000.0,24545.0,,,18667.0,,23625.0,45861.0,,,,10856.0,,,14401.0,
1977,,,,,,,100000.0,,,,,,,33741.0,,,,,,,,,,30000.0,,,,,105542.0,,8571.0,,,,24167.0,,,,,,,,20462.0,,,166667.0,26786.0,,,21667.0,,23867.0,53718.0,,,,10856.0,,,18000.0,
1978,,,,,,,100000.0,,,,,,,31438.0,,,,,,,,,,36923.0,,,,,120418.0,,9130.0,,,,22083.0,,,,,,,,22300.0,,,128571.0,23636.0,,,20000.0,,19772.0,51038.0,,,,22184.0,,,18001.0,
1979,,,,,,,100000.0,,,,,,,30379.0,,,,,,,,,,16250.0,,,,,142229.0,,8500.0,,,,23333.0,,,,,,,,22250.0,,,88889.0,27273.0,,,20000.0,,26019.0,39564.0,,,,17471.0,,,14404.0,
1980,,,,,,,101927.0,,,,,,,29722.0,,,,,,,,,,30000.0,,,,,112652.0,,9000.0,,,,22917.0,,,,,,,,22440.0,,,77778.0,22663.0,,,27273.0,,24549.0,39585.0,,,,25747.0,,,14402.0,
1981,,,,,,,100131.0,,,,,,,33099.0,,,30000.0,,,,,,,50000.0,,,,,101659.0,,8500.0,,,,22083.0,,,,,,,,20700.0,,,66667.0,23019.0,,,27083.0,,28806.0,48937.0,,,,21034.0,,,12599.0,
1982,,,,,,,103574.0,,,,,,,33000.0,,,26000.0,,,,,,,75000.0,,,,,90601.0,,9091.0,,,,22128.0,,,,,,,,22000.0,,,60000.0,22642.0,,,28962.0,,29471.0,51128.0,,,,23333.0,,,17999.0,
1983,,,,,,,104157.0,,,,,,,24071.0,,,26000.0,,,,,,,83333.0,,,,,76488.0,,9091.0,,,,22979.0,,,,,,,,22250.0,,,60000.0,23438.0,,,32099.0,,25348.0,31511.0,,,,19149.0,,,26998.0,
1984,,,,,,,104664.0,,,,,,,24553.0,,,30000.0,,,,,,,110000.0,,,,,84100.0,,8824.0,,,,20851.0,,,,,,,,21667.0,,,66667.0,20837.0,,,30793.0,,26822.0,14910.0,,,,26596.0,,,24489.0,
