,Mauritania,Kenya,"China, Taiwan Province of",Belarus,Croatia,Saudi Arabia,Tonga,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,United Republic of Tanzania,Thailand,Uzbekistan,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Republic of Korea,Trinidad and Tobago,Melanesia,New Caledonia,Australia & New Zealand,Yugoslav SFR,Guatemala,French Polynesia,Algeria,United Arab Emirates,Senegal,Tajikistan,Saint Lucia,Ukraine,Israel,Dominica,Fiji,Cabo Verde,Turkmenistan,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,Réunion,China,Malta,Colombia,Libya,Sudan (former),Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,South Africa,Suriname,Portugal,Namibia,Micronesia,"China, mainland",Russian Federation,Mali,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Grenada,Armenia,South Sudan,El Salvador,Cook Islands,Canada,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bahrain,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Sudan,Djibouti,Somalia,Pakistan,Kuwait,Cuba,Kyrgyzstan,Argentina,Paraguay,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Viet Nam,Tunisia,Albania,Slovakia,Jamaica,Solomon Islands,Yemen,France,Italy,Polynesia,Australia,Panama,Republic of Moldova,Oman,Guyana,Guam,Turkey
1961,1000.0,-1.0,48859.0,-1,-1.0,115000.0,450.0,17260.0,250000.0,241353.0,-1.0,-1.0,116900.0,-1.0,-1.0,-1.0,232279.0,25764.0,-1.0,260.0,-1.0,13400.0,245000.0,-1.0,400.0,130630.0,-1.0,-1.0,-1.0,-1.0,-1.0,43500.0,-1.0,-1.0,-1.0,-1.0,8812.0,-1.0,639987.0,-1.0,-1.0,6548859.0,-1.0,1000.0,21000.0,65000.0,25000.0,-1.0,-1.0,125000.0,85778.0,-1.0,-1.0,30794.0,-1.0,1650.0,-1.0,-1.0,6500000.0,-1.0,70000.0,-1.0,-1.0,-1.0,30000.0,10500.0,-1.0,-1.0,-1.0,24700.0,-1.0,-1.0,-1,20300.0,20.0,-1.0,817500.0,63000.0,186257.0,23189.0,12090.0,328935.0,200.0,-1.0,-1.0,181405.0,1319176.0,500000.0,-1.0,5.0,-1.0,118000.0,-1.0,-1.0,-1.0,176300.0,53000.0,-1.0,71000.0,450.0,-1.0,-1.0,82000.0,-1.0,198407.0,2200000.0,-1.0,8700.0,1486.0,64000.0,-1.0,28000.0,82500.0,15000.0,-1.0,907.0,260.0,17800.0,5420.0,451100.0,870.0,13200.0,198.0,-1.0,-1.0,-1.0,-1.0,1700000.0
1962,1000.0,-1.0,59562.0,-1,-1.0,115000.0,480.0,21000.0,503495.0,240150.0,-1.0,-1.0,118016.0,-1.0,-1.0,-1.0,258078.0,31955.0,-1.0,270.0,-1.0,13500.0,319000.0,-1.0,450.0,125000.0,-1.0,-1.0,-1.0,-1.0,-1.0,61600.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,779293.0,-1.0,-1.0,6579562.0,-1.0,1000.0,19000.0,65000.0,35000.0,-1.0,-1.0,130000.0,93461.0,-1.0,-1.0,36640.0,-1.0,1650.0,-1.0,-1.0,6520000.0,-1.0,70000.0,-1.0,-1.0,-1.0,35000.0,12000.0,-1.0,-1.0,-1.0,26900.0,-1.0,-1.0,-1,21300.0,23.0,-1.0,717500.0,63000.0,265003.0,25044.0,10160.0,297652.0,300.0,-1.0,-1.0,232116.0,1313642.0,550000.0,-1.0,5.0,-1.0,128000.0,-1.0,-1.0,-1.0,174400.0,54000.0,-1.0,75000.0,500.0,-1.0,-1.0,84000.0,-1.0,337213.0,2600000.0,-1.0,9541.0,1530.0,65000.0,-1.0,35000.0,112500.0,12000.0,-1.0,1361.0,270.0,17800.0,4490.0,444700.0,953.0,13200.0,204.0,-1.0,-1.0,-1.0,-1.0,1782000.0
1963,1000.0,-1.0,79770.0,-1,-1.0,115000.0,500.0,25800.0,306798.0,236817.0,-1.0,-1.0,185527.0,-1.0,-1.0,-1.0,355270.0,32247.0,-1.0,280.0,-1.0,14110.0,407000.0,-1.0,500.0,132000.0,-1.0,-1.0,-1.0,-1.0,-1.0,69700.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,858268.0,-1.0,-1.0,5899770.0,-1.0,1200.0,18000.0,68000.0,21000.0,-1.0,-1.0,135000.0,185508.0,-1.0,-1.0,33394.0,-1.0,1700.0,-1.0,-1.0,5820000.0,-1.0,70000.0,-1.0,-1.0,-1.0,35000.0,11000.0,-1.0,-1.0,-1.0,22400.0,-1.0,-1.0,-1,22300.0,25.0,-1.0,729400.0,66800.0,284614.0,27048.0,17780.0,301785.0,360.0,-1.0,-1.0,347453.0,1410756.0,600000.0,-1.0,5.0,-1.0,117000.0,-1.0,-1.0,-1.0,165400.0,55000.0,-1.0,77000.0,500.0,-1.0,-1.0,86000.0,-1.0,340459.0,2600000.0,-1.0,9023.0,1576.0,75000.0,-1.0,40000.0,87300.0,9000.0,-1.0,907.0,280.0,18100.0,6410.0,629800.0,1025.0,13750.0,210.0,-1.0,-1.0,-1.0,-1.0,1804000.0
1964,1500.0,-1.0,95143.0,-1,-1.0,120000.0,510.0,29262.0,264784.0,246741.0,-1.0,-1.0,171323.0,-1.0,-1.0,-1.0,424131.0,46522.0,-1.0,290.0,-1.0,14640.0,474000.0,-1.0,550.0,118739.0,-1.0,-1.0,-1.0,-1.0,-1.0,63100.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,844015.0,-1.0,-1.0,5245143.0,-1.0,1400.0,17000.0,68000.0,27300.0,-1.0,-1.0,140000.0,148388.0,-1.0,-1.0,24200.0,-1.0,1700.0,-1.0,-1.0,5150000.0,-1.0,70000.0,-1.0,-1.0,-1.0,35000.0,12000.0,-1.0,-1.0,-1.0,29100.0,-1.0,-1.0,-1,25000.0,28.0,-1.0,779000.0,70600.0,363472.0,29212.0,15240.0,274816.0,340.0,-1.0,-1.0,342244.0,1250774.0,630000.0,-1.0,6.0,-1.0,121000.0,-1.0,-1.0,-1.0,179800.0,56000.0,-1.0,80000.0,500.0,-1.0,-1.0,142000.0,-1.0,339994.0,3400000.0,-1.0,9865.0,1636.0,110000.0,-1.0,45000.0,69900.0,9500.0,-1.0,907.0,290.0,18100.0,5570.0,620100.0,1088.0,14300.0,217.0,-1.0,-1.0,-1.0,-1.0,1980000.0
1965,1600.0,-1.0,77329.0,-1,-1.0,120000.0,550.0,19378.0,193296.0,236823.0,-1.0,-1.0,194532.0,-1.0,-1.0,-1.0,334036.0,57698.0,-1.0,300.0,-1.0,14120.0,391000.0,-1.0,600.0,158541.0,-1.0,-1.0,-1.0,-1.0,-1.0,69500.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,976077.0,-1.0,-1.0,5477329.0,-1.0,1600.0,18000.0,70000.0,23500.0,-1.0,-1.0,145225.0,98404.0,-1.0,-1.0,28300.0,-1.0,1750.0,-1.0,-1.0,5400000.0,-1.0,85000.0,-1.0,-1.0,-1.0,38600.0,12000.0,-1.0,-1.0,-1.0,31400.0,-1.0,-1.0,-1,27000.0,30.0,-1.0,742300.0,72500.0,382620.0,31549.0,23571.0,206400.0,370.0,-1.0,-1.0,215511.0,1342762.0,650000.0,-1.0,6.0,-1.0,114000.0,-1.0,-1.0,-1.0,190700.0,57000.0,-1.0,85000.0,500.0,-1.0,-1.0,110000.0,-1.0,331581.0,2900000.0,-1.0,9125.0,1691.0,115000.0,-1.0,50000.0,69300.0,8000.0,-1.0,1016.0,300.0,18500.0,4210.0,601700.0,1180.0,13750.0,224.0,-1.0,-1.0,-1.0,-1.0,1980000.0
1966,1500.0,-1.0,84161.0,-1,-1.0,125000.0,570.0,20918.0,104212.0,249399.0,-1.0,-1.0,275816.0,-1.0,-1.0,-1.0,448736.0,55258.0,-1.0,310.0,-1.0,14700.0,481000.0,-1.0,650.0,142065.0,-1.0,-1.0,-1.0,-1.0,-1.0,54700.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1.0,1134348.0,-1.0,-1.0,5504161.0,-1.0,1800.0,18000.0,70000.0,15205.0,-1.0,-1.0,150000.0,102795.0,-1.0,-1.0,23900.0,-1.0,1750.0,-1.0,-1.0,5420000.0,-1.0,85000.0,-1.0,-1.0,-1.0,56003.0,12500.0,-1.0,-1.0,-1.0,31400.0,-1.0,-1.0,-1,33000.0,33.0,-1.0,857600.0,74300.0,411931.0,27675.0,20320.0,211000.0,400.0,-1.0,-1.0,465955.0,1289829.0,680000.0,-1.0,6.0,-1.0,135000.0,-1.0,-1.0,-1.0,164100.0,58000.0,-1.0,88000.0,750.0,-1.0,-1.0,82000.0,-1.0,337405.0,3000000.0,-1.0,8081.0,1662.0,35000.0,-1.0,55000.0,75400.0,10000.0,-1.0,726.0,310.0,18900.0,4170.0,654700.0,1253.0,14300.0,232.0,-1.0,-1.0,-1.0,-1.0,2100000.0
1967,1500.0,-1.0,92318.0,-1,-1.0,125000.0,600.0,16508.0,415829.0,285891.0,-1.0,-1.0,360000.0,-1.0,-1.0,-1.0,490134.0,86208.0,-1.0,320.0,-1.0,18000.0,520000.0,-1.0,700.0,135676.0,1000.0,-1.0,-1.0,-1.0,-1.0,58700.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1.0,1004000.0,-1.0,-1.0,5592318.0,-1.0,2000.0,18000.0,72000.0,18737.0,-1.0,-1.0,152000.0,154395.0,-1.0,-1.0,25400.0,-1.0,1800.0,-1.0,-1.0,5500000.0,-1.0,85000.0,-1.0,-1.0,-1.0,65195.0,13000.0,-1.0,-1.0,-1.0,35900.0,-1.0,-1.0,-1,35000.0,35.0,-1.0,1047500.0,80000.0,481349.0,28671.0,22352.0,209876.0,400.0,-1.0,-1.0,387097.0,1260527.0,710000.0,-1.0,6.0,-1.0,153000.0,-1.0,-1.0,-1.0,185300.0,59000.0,-1.0,89000.0,700.0,-1.0,-1.0,105436.0,-1.0,202458.0,3100000.0,-1.0,19944.0,1993.0,39352.0,-1.0,60000.0,59900.0,7500.0,-1.0,968.0,320.0,18900.0,3860.0,671100.0,1335.0,17600.0,240.0,-1.0,-1.0,-1.0,-1.0,2089000.0
1968,1500.0,-1.0,93024.0,-1,-1.0,130000.0,630.0,30986.0,452208.0,312120.0,-1.0,-1.0,449782.0,-1.0,-1.0,-1.0,488072.0,103792.0,-1.0,330.0,-1.0,19100.0,445000.0,-1.0,750.0,177980.0,2000.0,-1.0,-1.0,-1.0,-1.0,61100.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1.0,898000.0,-1.0,-1.0,5793024.0,-1.0,2200.0,19000.0,73000.0,15030.0,-1.0,-1.0,155000.0,101147.0,-1.0,-1.0,29227.0,-1.0,1860.0,-1.0,-1.0,5700000.0,-1.0,100000.0,-1.0,-1.0,-1.0,56152.0,13500.0,-1.0,-1.0,-1.0,38100.0,-1.0,-1.0,-1,36340.0,38.0,-1.0,1217200.0,82400.0,456642.0,29703.0,23368.0,209695.0,400.0,-1.0,-1.0,240787.0,1252634.0,730000.0,-1.0,7.0,-1.0,255000.0,-1.0,-1.0,-1.0,164800.0,60000.0,-1.0,96000.0,650.0,-1.0,-1.0,150000.0,-1.0,185187.0,3000000.0,-1.0,8257.0,2272.0,24400.0,-1.0,66000.0,85100.0,12000.0,-1.0,1231.0,330.0,19600.0,4546.0,704000.0,1418.0,18700.0,275.0,-1.0,-1.0,-1.0,-1.0,2160000.0
1969,1500.0,-1.0,131562.0,-1,-1.0,130000.0,650.0,48126.0,370427.0,290919.0,-1.0,-1.0,620764.0,-1.0,-1.0,-1.0,499955.0,117150.0,-1.0,340.0,-1.0,18615.0,431700.0,-1.0,800.0,194741.0,3000.0,-1.0,-1.0,-1.0,-1.0,87200.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1.0,957000.0,-1.0,-1.0,6031562.0,-1.0,2400.0,19000.0,74000.0,19419.0,-1.0,-1.0,158000.0,126773.0,-1.0,-1.0,23092.0,-1.0,1870.0,-1.0,-1.0,5900000.0,-1.0,105000.0,-1.0,-1.0,-1.0,51219.0,14000.0,-1.0,-1.0,-1.0,40400.0,-1.0,-1.0,-1,38400.0,40.0,-1.0,1022600.0,84600.0,518543.0,30772.0,20320.0,208100.0,450.0,-1.0,-1.0,302789.0,1177066.0,750000.0,-1.0,7.0,-1.0,210000.0,-1.0,-1.0,-1.0,184600.0,61000.0,-1.0,100000.0,600.0,-1.0,-1.0,110000.0,-1.0,200234.0,2600000.0,-1.0,5481.0,2203.0,39646.0,-1.0,62000.0,75300.0,12000.0,-1.0,1808.0,340.0,19600.0,5870.0,721725.0,1490.0,18165.0,317.0,-1.0,-1.0,-1.0,-1.0,2100040.0
1970,1500.0,-1.0,225843.0,-1,-1.0,165000.0,670.0,74861.0,129337.0,247347.0,-1.0,-1.0,361203.0,-1.0,-1.0,-1.0,593337.0,119405.0,-1.0,350.0,-1.0,16678.0,400404.0,-1.0,850.0,189684.0,6000.0,-1.0,-1.0,-1.0,-1.0,102000.0,-1.0,-1.0,-1.0,-1.0,8500.0,-1.0,898000.0,-1.0,-1.0,4635843.0,-1.0,2600.0,21000.0,75000.0,19691.0,-1.0,-1.0,160000.0,79560.0,-1.0,-1.0,29767.0,-1.0,2130.0,-1.0,-1.0,4410000.0,-1.0,115000.0,-1.0,-1.0,-1.0,51616.0,14500.0,-1.0,-1.0,-1.0,44800.0,-1.0,-1.0,-1,40500.0,43.0,-1.0,1007000.0,78800.0,486322.0,31880.0,19304.0,204900.0,600.0,-1.0,-1.0,261577.0,1241612.0,775000.0,-1.0,7.0,-1.0,201000.0,-1.0,-1.0,-1.0,189300.0,62200.0,-1.0,102000.0,550.0,-1.0,-1.0,190000.0,-1.0,203605.0,2800000.0,-1.0,6502.0,2658.0,15832.0,-1.0,63000.0,65300.0,13700.0,-1.0,4106.0,350.0,20000.0,5610.0,748700.0,1563.0,16078.0,226.0,-1.0,-1.0,-1.0,-1.0,2170000.0
