,Mauritania,Kenya,"China, Taiwan Province of",Croatia,Saudi Arabia,Tonga,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Australia,United Republic of Tanzania,Thailand,Uzbekistan,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Republic of Korea,Trinidad and Tobago,Melanesia,New Caledonia,Australia & New Zealand,Yugoslav SFR,Guatemala,French Polynesia,Algeria,United Arab Emirates,Senegal,Tajikistan,Saint Lucia,Ukraine,Israel,Fiji,Cabo Verde,Turkmenistan,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Sudan (former),Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,South Africa,Suriname,Portugal,Namibia,"China, mainland",Russian Federation,Mali,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Grenada,Armenia,El Salvador,Cook Islands,Canada,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bahrain,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Sudan,Somalia,Pakistan,Kuwait,Cuba,Kyrgyzstan,Argentina,Paraguay,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Viet Nam,Tunisia,Albania,Slovakia,Jamaica,Solomon Islands,Yemen,France,Italy,Polynesia,Réunion,Panama,Oman,Guyana,Republic of Moldova,Turkey
1961,142857.0,-1.0,79317.0,-1.0,143750.0,150000.0,37851.0,71429.0,21101.0,-1.0,97633.0,-1.0,67650.0,-1.0,-1.0,-1.0,96086.0,110480.0,-1.0,200000.0,-1.0,97668.0,83051.0,-1.0,100000.0,81593.0,-1.0,-1.0,-1.0,-1.0,-1.0,106487.0,-1.0,-1.0,-1.0,46355.0,-1.0,246007.0,-1.0,122144.0,-1.0,142857.0,130031.0,295455.0,100000.0,-1.0,-1.0,250000.0,82773.0,-1.0,-1.0,102647.0,-1.0,55000.0,-1.0,122642.0,-1.0,280000.0,-1.0,-1.0,-1.0,150000.0,116667.0,-1.0,-1.0,-1.0,224545.0,-1.0,-1.0,184545.0,13333.0,-1.0,215699.0,48462.0,89585.0,103062.0,90359.0,143046.0,100000.0,-1.0,-1.0,93076.0,105983.0,73529.0,-1.0,-1.0,190323.0,-1.0,-1.0,-1.0,120795.0,55208.0,-1.0,109231.0,225000.0,-1.0,-1.0,102500.0,-1.0,79605.0,40293.0,-1.0,58000.0,33318.0,73563.0,-1.0,93333.0,152439.0,-1.0,-1.0,82455.0,200000.0,370833.0,306215.0,237296.0,102353.0,-1.0,99000.0,-1.0,-1.0,-1.0,124088.0
1962,142857.0,-1.0,80949.0,-1.0,143750.0,154839.0,41176.0,103645.0,21289.0,-1.0,97633.0,-1.0,65857.0,-1.0,-1.0,-1.0,104842.0,131991.0,-1.0,192857.0,-1.0,97685.0,102903.0,-1.0,100000.0,69444.0,-1.0,-1.0,-1.0,-1.0,-1.0,126100.0,-1.0,-1.0,-1.0,90000.0,-1.0,288948.0,-1.0,122443.0,-1.0,142857.0,93000.0,282609.0,129630.0,-1.0,-1.0,250000.0,98370.0,-1.0,-1.0,104686.0,-1.0,55000.0,-1.0,123019.0,-1.0,280000.0,-1.0,-1.0,-1.0,152174.0,120000.0,-1.0,-1.0,-1.0,224167.0,-1.0,-1.0,193636.0,14375.0,-1.0,183974.0,48462.0,110732.0,102220.0,75934.0,134350.0,100000.0,-1.0,-1.0,119734.0,108828.0,72368.0,-1.0,-1.0,191045.0,-1.0,-1.0,-1.0,116360.0,55102.0,-1.0,110294.0,250000.0,-1.0,-1.0,120000.0,-1.0,111638.0,47101.0,-1.0,63607.0,33850.0,74713.0,-1.0,116667.0,102273.0,-1.0,-1.0,104692.0,192857.0,370833.0,272121.0,229132.0,103587.0,-1.0,102000.0,-1.0,-1.0,-1.0,136031.0
1963,142857.0,-1.0,75269.0,-1.0,143750.0,156250.0,46320.0,43695.0,21672.0,-1.0,101701.0,-1.0,73856.0,-1.0,-1.0,-1.0,130437.0,121503.0,-1.0,200000.0,-1.0,101365.0,118659.0,-1.0,100000.0,73333.0,-1.0,-1.0,-1.0,-1.0,-1.0,111253.0,-1.0,-1.0,-1.0,90000.0,-1.0,280059.0,-1.0,125368.0,-1.0,150000.0,122200.0,295652.0,70000.0,-1.0,-1.0,250000.0,166271.0,-1.0,-1.0,104356.0,-1.0,56667.0,-1.0,126522.0,-1.0,280000.0,-1.0,-1.0,-1.0,152174.0,110000.0,-1.0,-1.0,-1.0,224000.0,-1.0,-1.0,193913.0,14706.0,-1.0,190444.0,51385.0,111740.0,102068.0,139890.0,137525.0,90000.0,-1.0,-1.0,155349.0,121760.0,70588.0,-1.0,-1.0,188710.0,-1.0,-1.0,-1.0,116471.0,55000.0,-1.0,110000.0,250000.0,-1.0,-1.0,143333.0,-1.0,111232.0,47016.0,-1.0,78257.0,34486.0,83333.0,-1.0,100000.0,99205.0,-1.0,-1.0,82455.0,200000.0,369388.0,233091.0,258316.0,103535.0,-1.0,105000.0,-1.0,-1.0,-1.0,149751.0
1964,136364.0,-1.0,92922.0,-1.0,150000.0,154545.0,51247.0,55718.0,20965.0,-1.0,101852.0,-1.0,67344.0,-1.0,-1.0,-1.0,146202.0,122298.0,-1.0,193333.0,-1.0,101385.0,125066.0,-1.0,100000.0,65529.0,-1.0,-1.0,-1.0,-1.0,-1.0,116744.0,-1.0,-1.0,-1.0,90000.0,-1.0,253603.0,-1.0,124813.0,-1.0,155556.0,129969.0,295652.0,85313.0,-1.0,-1.0,250000.0,111260.0,-1.0,-1.0,96800.0,-1.0,54839.0,-1.0,125610.0,-1.0,280000.0,-1.0,-1.0,-1.0,152174.0,109091.0,-1.0,-1.0,-1.0,223846.0,-1.0,-1.0,192308.0,15556.0,-1.0,209973.0,54308.0,113496.0,102498.0,126578.0,137918.0,85000.0,-1.0,-1.0,131018.0,110228.0,70000.0,-1.0,-1.0,189063.0,-1.0,-1.0,-1.0,118227.0,54902.0,-1.0,106667.0,250000.0,-1.0,-1.0,202857.0,-1.0,112439.0,59233.0,-1.0,70414.0,35107.0,82707.0,-1.0,112500.0,91974.0,-1.0,-1.0,82455.0,193333.0,369388.0,214231.0,261040.0,102642.0,-1.0,108500.0,-1.0,-1.0,-1.0,165000.0
1965,145455.0,-1.0,105684.0,-1.0,150000.0,157143.0,43351.0,50452.0,19793.0,-1.0,97934.0,-1.0,71942.0,-1.0,-1.0,-1.0,145107.0,118647.0,-1.0,200000.0,-1.0,98056.0,105391.0,-1.0,100000.0,63876.0,-1.0,-1.0,-1.0,-1.0,-1.0,119416.0,-1.0,-1.0,-1.0,90000.0,-1.0,256957.0,-1.0,131251.0,-1.0,160000.0,129964.0,280000.0,74603.0,-1.0,-1.0,250000.0,86991.0,-1.0,-1.0,101071.0,-1.0,56452.0,-1.0,131707.0,-1.0,283333.0,-1.0,-1.0,-1.0,160833.0,109091.0,-1.0,-1.0,-1.0,224286.0,-1.0,-1.0,192857.0,15789.0,-1.0,196376.0,55769.0,110904.0,101771.0,186479.0,125395.0,102778.0,-1.0,-1.0,89461.0,115887.0,69892.0,-1.0,-1.0,190000.0,-1.0,-1.0,-1.0,126216.0,54808.0,-1.0,111842.0,250000.0,-1.0,-1.0,147315.0,-1.0,115485.0,52347.0,-1.0,66075.0,35751.0,67647.0,-1.0,111111.0,100145.0,-1.0,-1.0,88348.0,200000.0,370000.0,160076.0,250823.0,103509.0,-1.0,89600.0,-1.0,-1.0,-1.0,165000.0
1966,136364.0,-1.0,91619.0,-1.0,156250.0,154054.0,47219.0,39902.0,22164.0,-1.0,98214.0,-1.0,73527.0,-1.0,-1.0,-1.0,161882.0,138007.0,-1.0,193750.0,-1.0,98262.0,119059.0,-1.0,101563.0,82261.0,-1.0,-1.0,-1.0,-1.0,-1.0,102723.0,-1.0,-1.0,-1.0,84211.0,-1.0,259043.0,-1.0,136179.0,-1.0,163636.0,129964.0,280000.0,56799.0,-1.0,-1.0,250000.0,85011.0,-1.0,-1.0,103913.0,-1.0,56452.0,-1.0,137215.0,-1.0,283333.0,-1.0,-1.0,-1.0,154278.0,113636.0,-1.0,-1.0,-1.0,224286.0,-1.0,-1.0,215686.0,16500.0,-1.0,220463.0,56718.0,113433.0,102500.0,168771.0,117398.0,100000.0,-1.0,-1.0,175660.0,115632.0,71579.0,-1.0,-1.0,190141.0,-1.0,-1.0,-1.0,125728.0,55238.0,-1.0,111392.0,312500.0,-1.0,-1.0,131495.0,-1.0,116572.0,56818.0,-1.0,62741.0,35974.0,46667.0,-1.0,100000.0,88706.0,-1.0,-1.0,89630.0,193750.0,370588.0,167470.0,252050.0,103554.0,-1.0,92800.0,-1.0,-1.0,-1.0,175000.0
1967,136364.0,-1.0,105434.0,-1.0,156250.0,157895.0,41167.0,66540.0,22541.0,-1.0,102564.0,-1.0,90000.0,-1.0,-1.0,-1.0,171796.0,175469.0,-1.0,200000.0,-1.0,102506.0,130653.0,-1.0,102941.0,72983.0,100000.0,-1.0,-1.0,-1.0,-1.0,111491.0,-1.0,-1.0,-1.0,84211.0,-1.0,251907.0,-1.0,138507.0,-1.0,166667.0,129964.0,276923.0,92988.0,-1.0,-1.0,249180.0,154010.0,-1.0,-1.0,110435.0,-1.0,58065.0,-1.0,139241.0,-1.0,283333.0,-1.0,-1.0,-1.0,161374.0,108333.0,-1.0,-1.0,-1.0,224375.0,-1.0,-1.0,227273.0,16667.0,-1.0,265190.0,66116.0,115937.0,102396.0,183665.0,119840.0,100000.0,-1.0,-1.0,156745.0,113989.0,72449.0,-1.0,-1.0,191250.0,-1.0,-1.0,-1.0,127179.0,56190.0,-1.0,111250.0,233333.0,-1.0,-1.0,175727.0,-1.0,92354.0,59615.0,-1.0,106595.0,37746.0,74856.0,-1.0,94488.0,103276.0,-1.0,-1.0,61656.0,200000.0,370588.0,162869.0,253159.0,105118.0,-1.0,80000.0,-1.0,-1.0,-1.0,168468.0
1968,136364.0,-1.0,102078.0,-1.0,162500.0,157500.0,46666.0,67696.0,24777.0,-1.0,102747.0,-1.0,94097.0,-1.0,-1.0,-1.0,172342.0,178736.0,-1.0,194118.0,-1.0,102688.0,107748.0,-1.0,107143.0,82781.0,96154.0,-1.0,-1.0,-1.0,-1.0,108719.0,-1.0,-1.0,-1.0,84211.0,-1.0,251491.0,-1.0,150816.0,-1.0,169231.0,135714.0,280769.0,78939.0,-1.0,-1.0,250000.0,84826.0,-1.0,-1.0,104382.0,-1.0,60000.0,-1.0,152000.0,-1.0,285714.0,-1.0,-1.0,-1.0,159296.0,112500.0,-1.0,-1.0,-1.0,224118.0,-1.0,-1.0,234452.0,17273.0,-1.0,299066.0,75596.0,114161.0,102424.0,189829.0,117542.0,100000.0,-1.0,-1.0,94297.0,109038.0,74490.0,-1.0,-1.0,190299.0,-1.0,-1.0,-1.0,118561.0,54545.0,-1.0,114286.0,185714.0,-1.0,-1.0,187500.0,-1.0,96356.0,58366.0,-1.0,65688.0,39651.0,34289.0,-1.0,102964.0,106375.0,-1.0,-1.0,73713.0,194118.0,369811.0,200264.0,253292.0,107424.0,-1.0,78571.0,-1.0,-1.0,-1.0,180000.0
1969,136364.0,-1.0,111806.0,-1.0,162500.0,154762.0,42514.0,57543.0,25349.0,-1.0,101708.0,-1.0,120133.0,-1.0,-1.0,-1.0,205152.0,182391.0,-1.0,200000.0,-1.0,101389.0,106804.0,-1.0,111111.0,90493.0,79365.0,-1.0,-1.0,-1.0,-1.0,118478.0,-1.0,-1.0,-1.0,84211.0,-1.0,247626.0,-1.0,155948.0,-1.0,171429.0,135714.0,279245.0,94866.0,-1.0,-1.0,250794.0,114831.0,-1.0,-1.0,104964.0,-1.0,60323.0,-1.0,157333.0,-1.0,262500.0,-1.0,-1.0,-1.0,143070.0,116667.0,-1.0,-1.0,-1.0,224444.0,-1.0,-1.0,240000.0,17391.0,-1.0,263557.0,77615.0,110220.0,102573.0,168771.0,127520.0,90000.0,-1.0,-1.0,122800.0,106778.0,78947.0,-1.0,-1.0,190909.0,-1.0,-1.0,-1.0,127310.0,55455.0,-1.0,114943.0,150000.0,-1.0,-1.0,157143.0,-1.0,108217.0,52738.0,-1.0,23955.0,38180.0,69554.0,-1.0,112727.0,68455.0,-1.0,-1.0,96684.0,200000.0,369811.0,186943.0,258980.0,108759.0,-1.0,79250.0,-1.0,-1.0,-1.0,175003.0
1970,136364.0,-1.0,164669.0,-1.0,165000.0,155814.0,50141.0,35912.0,23915.0,-1.0,97207.0,-1.0,99667.0,-1.0,-1.0,-1.0,223901.0,162478.0,-1.0,194444.0,-1.0,97876.0,98160.0,-1.0,113333.0,89770.0,99834.0,-1.0,-1.0,-1.0,-1.0,134387.0,-1.0,-1.0,-1.0,85341.0,-1.0,237522.0,-1.0,166329.0,-1.0,173333.0,140000.0,277778.0,98455.0,-1.0,-1.0,250000.0,105002.0,-1.0,-1.0,106311.0,-1.0,60857.0,-1.0,166415.0,-1.0,255556.0,-1.0,-1.0,-1.0,149395.0,111538.0,-1.0,-1.0,-1.0,224000.0,-1.0,-1.0,250000.0,17917.0,-1.0,255584.0,72294.0,113510.0,102839.0,169780.0,130037.0,120000.0,-1.0,-1.0,119764.0,115256.0,81579.0,-1.0,-1.0,189623.0,-1.0,-1.0,-1.0,129702.0,54087.0,-1.0,114607.0,122222.0,-1.0,-1.0,158333.0,-1.0,103690.0,56338.0,-1.0,28294.0,41727.0,32443.0,-1.0,101613.0,59364.0,-1.0,-1.0,138249.0,194444.0,363636.0,187000.0,258994.0,110070.0,-1.0,75333.0,-1.0,-1.0,-1.0,175000.0
