,USSR,Bahrain,Fiji,Australia,Panama,Pakistan,Slovakia,Thailand,Belize,Uruguay,Kenya,Guyana,South Africa,Serbia,Lao People's Democratic Republic,Solomon Islands,Lebanon,Somalia,Suriname,Albania,Brazil,Paraguay,Niger,Democratic People's Republic of Korea,Australia & New Zealand,El Salvador,Montenegro,Argentina,Colombia,New Caledonia,India,Malta,Jamaica,Ecuador,Cabo Verde,Indonesia,Republic of Moldova,Canada,Turkey,Jordan,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Tajikistan,France,Republic of Korea,Tunisia,Sudan,Mali,United Arab Emirates,Hungary,Syrian Arab Republic,Tonga,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Spain,"China, mainland",French Polynesia,Cyprus,Kazakhstan,Bosnia and Herzegovina,Portugal,Guatemala,Saint Kitts and Nevis,Cuba,Austria,Puerto Rico,Romania,Turkmenistan,Philippines,Iraq,New Zealand,Senegal,United Republic of Tanzania,Libya,Costa Rica,Italy,Qatar,Saint Lucia,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Chile,Honduras,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Afghanistan,Trinidad and Tobago,Namibia,Saudi Arabia,Georgia,Azerbaijan,Yemen,Oman,Viet Nam,Mauritania,Russian Federation,Cameroon,Bolivia (Plurinational State of),Grenada,Venezuela (Bolivarian Republic of),Brunei Darussalam,Mexico,Cook Islands,Ukraine,Kuwait,Guadeloupe,Polynesia,Croatia,Bulgaria,China
1961,40293.0,,,97633.0,99000.0,190323.0,,67650.0,,46355.0,,,102647.0,,,200000.0,100000.0,,,,21101.0,55208.0,,116667.0,97668.0,184545.0,,120795.0,142857.0,,109231.0,,82455.0,58000.0,,,,,124088.0,73563.0,246007.0,200000.0,,224545.0,96086.0,,306215.0,110480.0,152439.0,,280000.0,,82773.0,71429.0,150000.0,83051.0,73529.0,150000.0,105983.0,143046.0,122642.0,100000.0,90359.0,,,55000.0,,,,,,,,37851.0,89585.0,100000.0,,,130031.0,,237296.0,,,,,,,295455.0,102500.0,250000.0,33318.0,,81593.0,79317.0,106487.0,,215699.0,48462.0,,,143750.0,,,370833.0,,93333.0,142857.0,,,,,103062.0,,79605.0,13333.0,,,225000.0,102353.0,,93076.0,122144.0
1962,47101.0,,,97633.0,102000.0,191045.0,,65857.0,,90000.0,,,104686.0,,,192857.0,129630.0,,,,21289.0,55102.0,,120000.0,97685.0,193636.0,,116360.0,142857.0,,110294.0,,104692.0,63607.0,,,,,136031.0,74713.0,288948.0,192857.0,,224167.0,104842.0,,272121.0,131991.0,102273.0,,280000.0,,98370.0,103645.0,154839.0,102903.0,72368.0,152174.0,108828.0,134350.0,123019.0,100000.0,75934.0,,,55000.0,,,,,,,,41176.0,110732.0,100000.0,,,93000.0,,229132.0,,,,,,,282609.0,120000.0,250000.0,33850.0,,69444.0,80949.0,126100.0,,183974.0,48462.0,,,143750.0,,,370833.0,,116667.0,142857.0,,,,,102220.0,,111638.0,14375.0,,,250000.0,103587.0,,119734.0,122443.0
1963,47016.0,,,101701.0,105000.0,188710.0,,73856.0,,90000.0,,,104356.0,,,200000.0,70000.0,,,,21672.0,55000.0,,110000.0,101365.0,193913.0,,116471.0,150000.0,,110000.0,,82455.0,78257.0,,,,,149751.0,83333.0,280059.0,200000.0,,224000.0,130437.0,,233091.0,121503.0,99205.0,,280000.0,,166271.0,43695.0,156250.0,118659.0,70588.0,152174.0,121760.0,137525.0,126522.0,100000.0,139890.0,,,56667.0,,,,,,,,46320.0,111740.0,90000.0,,,122200.0,,258316.0,,,,,,,295652.0,143333.0,250000.0,34486.0,,73333.0,75269.0,111253.0,,190444.0,51385.0,,,143750.0,,,369388.0,,100000.0,142857.0,,,,,102068.0,,111232.0,14706.0,,,250000.0,103535.0,,155349.0,125368.0
1964,59233.0,,,101852.0,108500.0,189063.0,,67344.0,,90000.0,,,96800.0,,,193333.0,85313.0,,,,20965.0,54902.0,,109091.0,101385.0,192308.0,,118227.0,155556.0,,106667.0,,82455.0,70414.0,,,,,165000.0,82707.0,253603.0,193333.0,,223846.0,146202.0,,214231.0,122298.0,91974.0,,280000.0,,111260.0,55718.0,154545.0,125066.0,70000.0,152174.0,110228.0,137918.0,125610.0,100000.0,126578.0,,,54839.0,,,,,,,,51247.0,113496.0,85000.0,,,129969.0,,261040.0,,,,,,,295652.0,202857.0,250000.0,35107.0,,65529.0,92922.0,116744.0,,209973.0,54308.0,,,150000.0,,,369388.0,,112500.0,136364.0,,,,,102498.0,,112439.0,15556.0,,,250000.0,102642.0,,131018.0,124813.0
1965,52347.0,,,97934.0,89600.0,190000.0,,71942.0,,90000.0,,,101071.0,,,200000.0,74603.0,,,,19793.0,54808.0,,109091.0,98056.0,192857.0,,126216.0,160000.0,,111842.0,,88348.0,66075.0,,,,,165000.0,67647.0,256957.0,200000.0,,224286.0,145107.0,,160076.0,118647.0,100145.0,,283333.0,,86991.0,50452.0,157143.0,105391.0,69892.0,160833.0,115887.0,125395.0,131707.0,100000.0,186479.0,,,56452.0,,,,,,,,43351.0,110904.0,102778.0,,,129964.0,,250823.0,,,,,,,280000.0,147315.0,250000.0,35751.0,,63876.0,105684.0,119416.0,,196376.0,55769.0,,,150000.0,,,370000.0,,111111.0,145455.0,,,,,101771.0,,115485.0,15789.0,,,250000.0,103509.0,,89461.0,131251.0
1966,56818.0,,,98214.0,92800.0,190141.0,,73527.0,,84211.0,,,103913.0,,,193750.0,56799.0,,,,22164.0,55238.0,,113636.0,98262.0,215686.0,,125728.0,163636.0,,111392.0,,89630.0,62741.0,,,,,175000.0,46667.0,259043.0,193750.0,,224286.0,161882.0,,167470.0,138007.0,88706.0,,283333.0,,85011.0,39902.0,154054.0,119059.0,71579.0,154278.0,115632.0,117398.0,137215.0,101563.0,168771.0,,,56452.0,,,,,,,,47219.0,113433.0,100000.0,,,129964.0,,252050.0,,,,,,,280000.0,131495.0,250000.0,35974.0,,82261.0,91619.0,102723.0,,220463.0,56718.0,,,156250.0,,,370588.0,,100000.0,136364.0,,,,,102500.0,,116572.0,16500.0,,,312500.0,103554.0,,175660.0,136179.0
1967,59615.0,,,102564.0,80000.0,191250.0,,90000.0,,84211.0,,,110435.0,,,200000.0,92988.0,,,,22541.0,56190.0,,108333.0,102506.0,227273.0,,127179.0,166667.0,,111250.0,,61656.0,106595.0,,,,,168468.0,74856.0,251907.0,200000.0,,224375.0,171796.0,,162869.0,175469.0,103276.0,,283333.0,100000.0,154010.0,66540.0,157895.0,130653.0,72449.0,161374.0,113989.0,119840.0,139241.0,102941.0,183665.0,,,58065.0,,,,,,,,41167.0,115937.0,100000.0,,,129964.0,,253159.0,,,,,,,276923.0,175727.0,249180.0,37746.0,,72983.0,105434.0,111491.0,,265190.0,66116.0,,,156250.0,,,370588.0,,94488.0,136364.0,,,,,102396.0,,92354.0,16667.0,,,233333.0,105118.0,,156745.0,138507.0
1968,58366.0,,,102747.0,78571.0,190299.0,,94097.0,,84211.0,,,104382.0,,,194118.0,78939.0,,,,24777.0,54545.0,,112500.0,102688.0,234452.0,,118561.0,169231.0,,114286.0,,73713.0,65688.0,,,,,180000.0,34289.0,251491.0,194118.0,,224118.0,172342.0,,200264.0,178736.0,106375.0,,285714.0,96154.0,84826.0,67696.0,157500.0,107748.0,74490.0,159296.0,109038.0,117542.0,152000.0,107143.0,189829.0,,,60000.0,,,,,,,,46666.0,114161.0,100000.0,,,135714.0,,253292.0,,,,,,,280769.0,187500.0,250000.0,39651.0,,82781.0,102078.0,108719.0,,299066.0,75596.0,,,162500.0,,,369811.0,,102964.0,136364.0,,,,,102424.0,,96356.0,17273.0,,,185714.0,107424.0,,94297.0,150816.0
1969,52738.0,,,101708.0,79250.0,190909.0,,120133.0,,84211.0,,,104964.0,,,200000.0,94866.0,,,,25349.0,55455.0,,116667.0,101389.0,240000.0,,127310.0,171429.0,,114943.0,,96684.0,23955.0,,,,,175003.0,69554.0,247626.0,200000.0,,224444.0,205152.0,,186943.0,182391.0,68455.0,,262500.0,79365.0,114831.0,57543.0,154762.0,106804.0,78947.0,143070.0,106778.0,127520.0,157333.0,111111.0,168771.0,,,60323.0,,,,,,,,42514.0,110220.0,90000.0,,,135714.0,,258980.0,,,,,,,279245.0,157143.0,250794.0,38180.0,,90493.0,111806.0,118478.0,,263557.0,77615.0,,,162500.0,,,369811.0,,112727.0,136364.0,,,,,102573.0,,108217.0,17391.0,,,150000.0,108759.0,,122800.0,155948.0
1970,56338.0,,,97207.0,75333.0,189623.0,,99667.0,,85341.0,,,106311.0,,,194444.0,98455.0,,,,23915.0,54087.0,,111538.0,97876.0,250000.0,,129702.0,173333.0,,114607.0,,138249.0,28294.0,,,,,175000.0,32443.0,237522.0,194444.0,,224000.0,223901.0,,187000.0,162478.0,59364.0,,255556.0,99834.0,105002.0,35912.0,155814.0,98160.0,81579.0,149395.0,115256.0,130037.0,166415.0,113333.0,169780.0,,,60857.0,,,,,,,,50141.0,113510.0,120000.0,,,140000.0,,258994.0,,,,,,,277778.0,158333.0,250000.0,41727.0,,89770.0,164669.0,134387.0,,255584.0,72294.0,,,165000.0,,,363636.0,,101613.0,136364.0,,,,,102839.0,,103690.0,17917.0,,,122222.0,110070.0,,119764.0,166329.0
