,Cuba,Puerto Rico,Ghana,Haiti,Trinidad and Tobago,Fiji,Dominica,Panama,Togo,United Republic of Tanzania,Burundi,Samoa,Belize,Ethiopia,Kenya,Guyana,Costa Rica,Solomon Islands,Germany,Papua New Guinea,Comoros,Benin,Cayman Islands,Niue,Brazil,Burkina Faso,Sudan (former),South Sudan,Saint Lucia,Chad,Colombia,New Caledonia,Central African Republic,Gabon,Jamaica,Japan,Antigua and Barbuda,Ethiopia PDR,Sao Tome and Principe,Grenada,Wallis and Futuna Islands,Melanesia,Nicaragua,Polynesia,Democratic Republic of the Congo,Nigeria,Mali,Mauritania,Congo,Barbados,Martinique,Dominican Republic,Portugal,Tonga,Sudan,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),American Samoa,Philippines,Guinea,Guadeloupe,Côte d'Ivoire,Rwanda,Cameroon,Liberia,Saint Kitts and Nevis
1961,-1.0,2492.0,150000.0,20000.0,120.0,1000.0,200.0,1400.0,30000.0,700.0,1000.0,40.0,-1.0,,-1.0,-1.0,-1.0,1700.0,,7240.0,-1.0,69138.0,,10.0,9500.0,8755.0,40000.0,,607.0,14500.0,15000.0,1050.0,20000.0,8500.0,3000.0,3200.0,8.0,54000.0,100.0,175.0,40.0,10990.0,,2410.0,8000.0,450000.0,2000.0,260.0,8500.0,1009.0,1800.0,2500.0,190.0,2300.0,,200.0,8290.0,20.0,7000.0,6000.0,1500.0,150000.0,100.0,36000.0,1350.0,150.0
1962,-1.0,2442.0,150000.0,20000.0,145.0,1012.0,200.0,1600.0,30000.0,700.0,1000.0,52.0,-1.0,,-1.0,-1.0,-1.0,1700.0,,7500.0,-1.0,58294.0,,10.0,9800.0,8946.0,40000.0,,647.0,14500.0,15000.0,1100.0,22000.0,8500.0,3400.0,3200.0,10.0,55000.0,100.0,180.0,40.0,11312.0,,2472.0,10000.0,450000.0,2000.0,270.0,8500.0,956.0,1800.0,2900.0,190.0,2350.0,,200.0,7220.0,20.0,8270.0,6000.0,1500.0,155000.0,100.0,36000.0,1350.0,150.0
1963,-1.0,2712.0,162000.0,20500.0,171.0,1012.0,210.0,1800.0,30000.0,700.0,1000.0,53.0,-1.0,,-1.0,-1.0,-1.0,1700.0,,7800.0,-1.0,56576.0,,10.0,10300.0,8700.0,40000.0,,405.0,14700.0,15000.0,1100.0,22000.0,7500.0,3400.0,3500.0,12.0,54200.0,100.0,185.0,40.0,11612.0,,2453.0,10000.0,550000.0,2000.0,270.0,9000.0,1007.0,1900.0,2700.0,190.0,2330.0,,200.0,8585.0,20.0,6330.0,6000.0,1800.0,160000.0,100.0,36000.0,1350.0,155.0
1964,-1.0,2554.0,171000.0,21000.0,162.0,1012.0,215.0,1800.0,30000.0,700.0,1000.0,55.0,-1.0,,-1.0,-1.0,-1.0,1700.0,,8000.0,-1.0,58719.0,,10.0,10800.0,5000.0,50000.0,,283.0,14700.0,15000.0,1100.0,22000.0,7500.0,3743.0,3700.0,13.0,54700.0,100.0,190.0,40.0,11812.0,,2433.0,10000.0,600000.0,2000.0,290.0,9000.0,1127.0,1900.0,2700.0,210.0,2300.0,,210.0,8921.0,28.0,5930.0,6000.0,1800.0,160000.0,100.0,35672.0,1350.0,155.0
1965,-1.0,2554.0,95000.0,22000.0,153.0,1012.0,220.0,1800.0,30000.0,800.0,1000.0,58.0,-1.0,,-1.0,-1.0,-1.0,1700.0,,8200.0,-1.0,60550.0,,10.0,11000.0,5000.0,50000.0,,405.0,15000.0,15000.0,1300.0,20000.0,7500.0,3922.0,3800.0,13.0,55800.0,100.0,190.0,40.0,12212.0,,2436.0,12000.0,700000.0,2000.0,290.0,9200.0,900.0,1900.0,2800.0,250.0,2300.0,,210.0,9023.0,28.0,5260.0,6000.0,1400.0,168000.0,100.0,35515.0,1350.0,155.0
1966,-1.0,2551.0,87000.0,22500.0,168.0,1012.0,225.0,1800.0,30000.0,900.0,1000.0,60.0,-1.0,,-1.0,-1.0,-1.0,1800.0,,8500.0,-1.0,53667.0,2.0,10.0,11600.0,5000.0,50000.0,,450.0,15000.0,15000.0,1100.0,26000.0,7000.0,4861.0,4000.0,15.0,56600.0,100.0,190.0,40.0,12412.0,,2438.0,13500.0,742000.0,2000.0,290.0,10000.0,750.0,1900.0,3100.0,305.0,2300.0,,250.0,8924.0,28.0,5040.0,6500.0,2283.0,171000.0,160.0,38888.0,1350.0,155.0
1967,-1.0,2751.0,99000.0,22500.0,170.0,1214.0,230.0,2000.0,30000.0,900.0,1000.0,60.0,-1.0,,-1.0,-1.0,-1.0,1800.0,,8700.0,-1.0,58260.0,2.0,10.0,12400.0,6000.0,48000.0,,520.0,15700.0,15000.0,1100.0,25000.0,7500.0,6871.0,4500.0,18.0,57400.0,100.0,195.0,40.0,12814.0,,2438.0,15000.0,771000.0,2000.0,300.0,11000.0,1000.0,1900.0,3200.0,314.0,2300.0,,250.0,8962.0,28.0,4960.0,6500.0,413.0,168000.0,200.0,49521.0,1350.0,80.0
1968,-1.0,2476.0,119000.0,22500.0,197.0,1468.0,235.0,2000.0,30000.0,900.0,1000.0,63.0,-1.0,,-1.0,-1.0,-1.0,1800.0,,9000.0,-1.0,63337.0,2.0,10.0,12700.0,7604.0,46000.0,,580.0,15800.0,15000.0,1200.0,25000.0,8000.0,6090.0,5000.0,20.0,58300.0,100.0,200.0,40.0,13468.0,,2441.0,21000.0,1068000.0,2000.0,290.0,11000.0,1202.0,1900.0,3200.0,215.0,2300.0,,260.0,9094.0,28.0,4950.0,7000.0,1500.0,171000.0,210.0,51808.0,1350.0,80.0
1969,-1.0,2319.0,117000.0,22500.0,207.0,1468.0,240.0,2400.0,30000.0,1000.0,1000.0,63.0,-1.0,,-1.0,-1.0,-1.0,1800.0,,9300.0,-1.0,56112.0,2.0,10.0,13300.0,7000.0,44000.0,,640.0,16000.0,12000.0,1250.0,25000.0,8000.0,5562.0,5500.0,35.0,59200.0,100.0,200.0,40.0,13818.0,,2436.0,21500.0,1043000.0,2000.0,300.0,12000.0,1100.0,1950.0,3300.0,260.0,2300.0,,280.0,9390.0,23.0,4710.0,6500.0,1500.0,209000.0,310.0,46676.0,1350.0,80.0
1970,-1.0,2358.0,172000.0,23500.0,202.0,1200.0,245.0,1499.0,30000.0,1000.0,1100.0,63.0,-1.0,,-1.0,-1.0,-1.0,1900.0,,9400.0,-1.0,60204.0,2.0,10.0,13700.0,6000.0,40000.0,,700.0,16000.0,10000.0,1300.0,25000.0,8500.0,7118.0,6000.0,58.0,60100.0,100.0,200.0,40.0,13800.0,,2433.0,21300.0,1237000.0,2000.0,300.0,12000.0,1229.0,2000.0,3400.0,225.0,2300.0,,265.0,8930.0,20.0,4940.0,7000.0,1500.0,195000.0,437.0,61770.0,1400.0,80.0
