,Japan,Central African Republic,Dominica,Panama,Ethiopia PDR,Togo,United Republic of Tanzania,Costa Rica,Belize,Ethiopia,Kenya,Guyana,Democratic Republic of the Congo,Comoros,Portugal,Benin,Venezuela (Bolivarian Republic of),Brazil,Sudan (former),Philippines,Côte d'Ivoire,Colombia,Cameroon,Gabon,South Sudan
1961,3200.0,10000.0,160.0,800.0,19700.0,30000.0,400.0,0.0,0.0,,0.0,0.0,6000.0,0.0,30.0,174882.0,3610.0,4900.0,40000.0,8270.0,230000.0,0.0,30000.0,4000.0,
1962,3500.0,12000.0,168.0,900.0,19800.0,30000.0,400.0,0.0,0.0,,0.0,0.0,7000.0,0.0,30.0,169728.0,4293.0,5150.0,40000.0,6330.0,240000.0,0.0,30000.0,3840.0,
1963,3700.0,13000.0,172.0,900.0,22540.0,30000.0,400.0,0.0,0.0,,0.0,0.0,7500.0,0.0,30.0,176157.0,4461.0,5400.0,50000.0,5930.0,246000.0,0.0,29600.0,3440.0,
1964,3800.0,12000.0,176.0,900.0,22850.0,30000.0,400.0,0.0,0.0,,0.0,0.0,8000.0,0.0,34.0,181650.0,4512.0,5500.0,50000.0,5260.0,252000.0,0.0,29400.0,3040.0,
1965,4000.0,10000.0,180.0,900.0,23440.0,30000.0,440.0,0.0,0.0,,0.0,0.0,9000.0,0.0,40.0,161001.0,4462.0,5800.0,50000.0,5040.0,260000.0,0.0,29706.0,3200.0,
1966,4500.0,14000.0,184.0,1000.0,23880.0,30000.0,480.0,0.0,0.0,,0.0,0.0,10160.0,0.0,49.0,174780.0,4481.0,6200.0,48000.0,4960.0,264000.0,0.0,32383.0,2800.0,
1967,5000.0,13000.0,188.0,1000.0,24330.0,30000.0,480.0,0.0,0.0,,0.0,0.0,11300.0,0.0,50.0,190011.0,4547.0,6350.0,46000.0,4950.0,270000.0,0.0,34398.0,3040.0,
1968,5500.0,13000.0,192.0,1200.0,24800.0,30000.0,480.0,0.0,0.0,,0.0,0.0,15500.0,0.0,34.0,168336.0,4695.0,6650.0,44000.0,4710.0,277600.0,0.0,35605.0,3200.0,
1969,6000.0,12000.0,196.0,1200.0,25290.0,30000.0,560.0,0.0,0.0,,0.0,0.0,16750.0,0.0,42.0,180612.0,4465.0,6850.0,40000.0,4940.0,304000.0,0.0,32232.0,3201.0,
1970,6540.0,12500.0,200.0,900.0,25810.0,30000.0,560.0,0.0,0.0,,0.0,0.0,16120.0,0.0,36.0,148464.0,4325.0,7100.0,39000.0,4950.0,310200.0,0.0,44614.0,3601.0,
