,Dominica,Panama,Peru
1961,410.0,400.0,665.0
1962,420.0,400.0,630.0
1963,430.0,400.0,595.0
1964,440.0,400.0,837.0
1965,450.0,400.0,980.0
1966,460.0,400.0,1029.0
1967,470.0,400.0,1159.0
1968,480.0,500.0,1414.0
1969,490.0,500.0,1894.0
1970,500.0,500.0,2289.0
1971,510.0,500.0,3056.0
1972,520.0,600.0,3140.0
1973,530.0,600.0,3178.0
1974,550.0,600.0,2765.0
1975,580.0,645.0,2769.0
1976,600.0,652.0,2114.0
1977,650.0,659.0,2136.0
1978,630.0,665.0,2082.0
1979,650.0,670.0,2811.0
1980,680.0,321.0,2573.0
1981,710.0,349.0,2993.0
1982,700.0,749.0,3385.0
1983,710.0,597.0,4096.0
1984,520.0,629.0,3500.0
1985,580.0,664.0,3570.0
1986,670.0,700.0,3570.0
1987,650.0,738.0,3640.0
1988,640.0,778.0,3640.0
1989,630.0,522.0,3780.0
1990,498.0,266.0,4342.0
1991,620.0,315.0,4200.0
1992,718.0,306.0,4200.0
1993,615.0,310.0,4480.0
1994,630.0,310.0,4900.0
1995,706.0,438.0,3648.0
1996,781.0,392.0,1560.0
1997,920.0,481.0,5184.0
1998,620.0,340.0,6946.0
1999,649.0,510.0,6735.0
2000,773.0,472.0,6835.0
2001,783.0,545.0,5499.0
2002,829.0,424.0,6697.0
2003,907.0,471.0,6681.0
2004,937.0,658.0,6439.0
2005,724.0,516.0,5690.0
2006,792.0,497.0,5655.0
2007,747.0,518.0,5312.0
2008,1039.0,431.0,4200.0
2009,950.0,422.0,4340.0
2010,830.0,568.0,4550.0
2011,830.0,365.0,3570.0
2012,850.0,369.0,3500.0
2013,886.0,338.0,4015.0
2014,886.0,338.0,4015.0
