Entity,Code,Year,Penn World Table 9.0 (Real GDP at chained PPPs in 2011US$) (US$ (PPP-adjusted; real 2011)),CO₂ emissions per capita (tonnes) (tonnes per year),Total population (Gapminder)
Afghanistan,AFG,1800,,,3280000
Afghanistan,AFG,1820,,,3280000
Afghanistan,AFG,1870,,,4207000
Afghanistan,AFG,1913,,,5730000
Afghanistan,AFG,1950,,0,8151455
Afghanistan,AFG,1951,,0,8276820
Afghanistan,AFG,1952,,0,8407148
Afghanistan,AFG,1953,,0,8542906
Afghanistan,AFG,1954,,0,8684494
Afghanistan,AFG,1955,,0,8832253
Afghanistan,AFG,1956,,0.0367,8986449
Afghanistan,AFG,1957,,0.0367,9147286
Afghanistan,AFG,1958,,0.0367,9314915
Afghanistan,AFG,1959,,0.0367,9489453
Afghanistan,AFG,1960,,0.0367,9671046
Afghanistan,AFG,1961,,0.0367,9859928
Afghanistan,AFG,1962,,0.0734,10056480
Afghanistan,AFG,1963,,0.0734,10261254
Afghanistan,AFG,1964,,0.0734,10474903
Afghanistan,AFG,1965,,0.1101,10697983
Afghanistan,AFG,1966,,0.1101,10927724
Afghanistan,AFG,1967,,0.1101,11163656
Afghanistan,AFG,1968,,0.1101,11411022
Afghanistan,AFG,1969,,0.0734,11676990
Afghanistan,AFG,1970,,0.1468,11964906
Afghanistan,AFG,1971,,0.1468,12273101
Afghanistan,AFG,1972,,0.1101,12593688
Afghanistan,AFG,1973,,0.1101,12915499
Afghanistan,AFG,1974,,0.1468,13223928
Afghanistan,AFG,1975,,0.1468,13505544
Afghanistan,AFG,1976,,0.1468,13766792
Afghanistan,AFG,1977,,0.1835,14003408
Afghanistan,AFG,1978,,0.1468,14179656
Afghanistan,AFG,1979,,0.1468,14249493
Afghanistan,AFG,1980,,0.1101,14185729
Afghanistan,AFG,1981,,0.1468,13984092
Afghanistan,AFG,1982,,0.1468,13672870
Afghanistan,AFG,1983,,0.1835,13300056
Afghanistan,AFG,1984,,0.2202,12931791
Afghanistan,AFG,1985,,0.2936,12625292
Afghanistan,AFG,1986,,0.2569,12372113
Afghanistan,AFG,1987,,0.2569,12183387
Afghanistan,AFG,1988,,0.2202,12156685
Afghanistan,AFG,1989,,0.2202,12414686
Afghanistan,AFG,1990,,0.1835,13032161
Afghanistan,AFG,1991,,0.1835,14069854
Afghanistan,AFG,1992,,0.0734,15472076
Afghanistan,AFG,1993,,0.0734,17053213
Afghanistan,AFG,1994,,0.0734,18553819
Afghanistan,AFG,1995,,0.0734,19789880
Afghanistan,AFG,1996,,0.0734,20684982
Afghanistan,AFG,1997,,0.0367,21299350
Afghanistan,AFG,1998,,0.0367,21752257
Afghanistan,AFG,1999,,0.0367,22227543
Afghanistan,AFG,2000,,0.0367,22856302
