"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","106.2062","102.8116","99.417","94.4542","89.4914","84.5286","79.5658","74.603","71.665","68.727","65.789","62.851","59.913","59.0044","58.0958","57.1872","56.2786","55.37","54.9542","54.5384","54.1226","53.7068","53.291","53.0288","52.7666","52.5044","52.2422","51.98","51.41","50.84","50.27","49.7","49.13","48.7648","48.3996","48.0344","47.6692","47.304","46.067","44.83","43.593","42.356","41.119","39.5738","38.0286","36.4834","34.9382","33.393","32.0268","30.6606","29.2944","27.9282","26.562","24.842","23.122","21.402","",
"Afghanistan","AFG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","145.321","145.321","145.321","145.321","145.321","145.321","145.321","145.321","145.321","145.321","145.321","145.321","145.321","146.215","147.109","148.003","148.897","149.791","150.8782","151.9654","153.0526","154.1398","155.227","156.3758","157.5246","158.6734","159.8222","160.971","161.56","162.149","162.738","163.327","163.916","164.1812","164.4464","164.7116","164.9768","165.242","161.4432","157.6444","153.8456","150.0468","146.248","140.4764","134.7048","128.9332","123.1616","117.39","111.4708","105.5516","99.6324","93.7132","87.794","82.2638","76.7336","71.2034","",
"Angola","AGO","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","234.684","235.002","235.32","235.32","235.32","235.32","235.32","235.32","235.002","234.684","234.366","234.048","233.73","233.73","233.73","233.73","233.73","233.73","233.412","233.094","232.776","232.458","232.14","231.822","231.504","231.186","230.868","230.55","229.914","229.278","228.642","228.006","227.37","225.38","223.39","221.4","219.41","217.42","215.1712","212.9224","210.6736","208.4248","206.176","202.6216","199.0672","195.5128","191.9584","188.404","185.912","183.42","180.928","178.436","175.944","171.2734","166.6028","161.9322","",
"Albania","ALB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","54.4408","56.1654","57.89","55.368","52.846","50.324","47.802","45.28","42.1176","38.9552","35.7928","32.6304","29.468","28.6554","27.8428","27.0302","26.2176","25.405","23.6676","21.9302","20.1928","18.4554","16.718","16.6428","16.5676","16.4924","16.4172","16.342","16.8202","17.2984","17.7766","18.2548","18.733","18.8524","18.9718","19.0912","19.2106","19.33","19.311","19.292","19.273","19.254","19.235","19.108","18.981","18.854","18.727","18.6","19.0396","19.4792","19.9188","20.3584","20.798","21.1438","21.4896","21.8354","",
"Andorra","AND","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","133.594600857695","134.189094269629","134.885866516336","134.53744686003","134.146225925852","133.620224486194","132.733927783648","131.730470875886","129.263695300073","126.813362629316","124.4579262165","122.194921213299","120.067432036353","118.123022210671","116.16403984254","114.136134464418","112.033592269478","109.858492073117","106.131376834626","102.457413431368","98.8677737993161","95.3775782031349","91.9448927703457","88.1631952336307","84.3681447373279","80.5479113230944","76.6740700315603","72.7895301596323","71.501762065939","70.2498905152144","69.3855271851644","68.1229042269148","67.2267595696601","65.1746805838353","63.1032187556365","60.8393481337562","58.7059576112149","56.5387894322425","55.6096322426969","54.7240448062865","53.8848658964015","52.9567463406136","52.0606949989203","51.626312927616","51.2356466782135","50.8842808978814","50.503577474691","50.1760005550876","50.0590988313204","49.9603077604131","49.8761011142934","49.8299374209719","49.7839340269159","49.2882967497095","48.7574166062316","48.154322069851","",
"United Arab Emirates","ARE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","176.9228","176.4004","175.878","175.3504","174.8228","174.2952","173.7676","173.24","171.14","169.04","166.94","164.84","162.74","159.1704","155.6008","152.0312","148.4616","144.892","139.2702","133.6484","128.0266","122.4048","116.783","108.2294","99.6758","91.1222","82.5686","74.015","67.5586","61.1022","54.6458","48.1894","41.733","38.8972","36.0614","33.2256","30.3898","27.554","27.1554","26.7568","26.3582","25.9596","25.561","26.4232","27.2854","28.1476","29.0098","29.872","29.4226","28.9732","28.5238","28.0744","27.625","28.4394","29.2538","30.0682","",
"Argentina","ARG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","61.378","61.238","61.098","60.9582","60.8184","60.6786","60.5388","60.399","61.9796","63.5602","65.1408","66.7214","68.302","71.4412","74.5804","77.7196","80.8588","83.998","82.0386","80.0792","78.1198","76.1604","74.201","74.0408","73.8806","73.7204","73.5602","73.4","73.3604","73.3208","73.2812","73.2416","73.202","72.5218","71.8416","71.1614","70.4812","69.801","68.8332","67.8654","66.8976","65.9298","64.962","64.0868","63.2116","62.3364","61.4612","60.586","61.264","61.942","62.62","63.298","63.976","63.9136","63.8512","63.7888","",
"Armenia","ARM","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","42.8244","44.2432","45.662","44.9044","44.1468","43.3892","42.6316","41.874","41.6992","41.5244","41.3496","41.1748","41","40.6554","40.3108","39.9662","39.6216","39.277","40.5264","41.7758","43.0252","44.2746","45.524","49.4208","53.3176","57.2144","61.1112","65.008","68.0198","71.0316","74.0434","77.0552","80.067","74.032","67.997","61.962","55.927","49.892","46.671","43.45","40.229","37.008","33.787","32.635","31.483","30.331","29.179","28.027","27.5424","27.0578","26.5732","26.0886","25.604","24.5562","23.5084","22.4606","",
"American Samoa","ASM","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","126.144","124.992","123.84","122.112","120.384","118.656","116.928","115.2","110.9474","106.6948","102.4422","98.1896","93.937","88.0272","82.1174","76.2076","70.2978","64.388","63.8322","63.2764","62.7206","62.1648","61.609","61.215","60.821","60.427","60.033","59.639","60.9356","62.2322","63.5288","64.8254","66.122","66.6432","67.1644","67.6856","68.2068","68.728","67.5386","66.3492","65.1598","63.9704","62.781","61.3234","59.8658","58.4082","56.9506","55.493","54.247","53.001","51.755","50.509","49.263","47.4636","45.6642","43.8648","",
"Australia","AUS","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","44.8286","45.0668","45.305","45.9764","46.6478","47.3192","47.9906","48.662","48.6296","48.5972","48.5648","48.5324","48.5","45.1672","41.8344","38.5016","35.1688","31.836","30.687","29.538","28.389","27.24","26.091","25.0928","24.0946","23.0964","22.0982","21.1","21.055","21.01","20.965","20.92","20.875","20.5906","20.3062","20.0218","19.7374","19.453","18.9462","18.4394","17.9326","17.4258","16.919","16.9552","16.9914","17.0276","17.0638","17.1","16.7854","16.4708","16.1562","15.8416","15.527","14.966","14.405","13.844","",
"Austria","AUT","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","48.3914","50.8922","53.393","54.8498","56.3066","57.7634","59.2202","60.677","59.5646","58.4522","57.3398","56.2274","55.115","51.7388","48.3626","44.9864","41.6102","38.234","36.6126","34.9912","33.3698","31.7484","30.127","28.3784","26.6298","24.8812","23.1326","21.384","21.185","20.986","20.787","20.588","20.389","19.269","18.149","17.029","15.909","14.789","14.5004","14.2118","13.9232","13.6346","13.346","12.902","12.458","12.014","11.57","11.126","10.6138","10.1016","9.5894","9.0772","8.565","7.972","7.379","6.786","",
"Azerbaijan","AZE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","43.221","42.462","41.703","42.204","42.705","43.206","43.707","44.208","41.167","38.126","35.085","32.044","29.003","26.9148","24.8266","22.7384","20.6502","18.562","18.3956","18.2292","18.0628","17.8964","17.73","18.9194","20.1088","21.2982","22.4876","23.677","26.448","29.219","31.99","34.761","37.532","38.3038","39.0756","39.8474","40.6192","41.391","39.9808","38.5706","37.1604","35.7502","34.34","37.0942","39.8484","42.6026","45.3568","48.111","49.2276","50.3442","51.4608","52.5774","53.694","56.1272","58.5604","60.9936","",
"Burundi","BDI","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","46.1038","46.3864","46.669","46.929","47.189","47.449","47.709","47.969","48.068","48.167","48.266","48.365","48.464","48.6396","48.8152","48.9908","49.1664","49.342","49.2786","49.2152","49.1518","49.0884","49.025","49.2414","49.4578","49.6742","49.8906","50.107","49.8946","49.6822","49.4698","49.2574","49.045","48.7188","48.3926","48.0664","47.7402","47.414","45.2536","43.0932","40.9328","38.7724","36.612","35.9952","35.3784","34.7616","34.1448","33.528","32.8736","32.2192","31.5648","30.9104","30.256","29.4556","28.6552","27.8548","",
