,feature,importance
0,imports_of_goods_and_services_percentage_of_gdp_normalized,20.782737056148896
1,historical_gov_spending_gdp_normalized,14.608078616780118
2,pupil-teacher_ratio_processed,13.448224308716789
3,young_pregnancies_normalized,12.029217941804562
4,ages_65_and_older_percentage_normalized,10.199209079687451
5,daily_per_capita_protein_supply_normalized,10.14921914227884
6,share_of_a_countrys_population_that_is_not_born_within_the_country_normalized,9.280026106116736
7,life_expectancy_male_normalized,8.66237138886949
8,daily_per_capita_fat_supply_normalized,7.570841521556417
9,trade_as_share_of_gdp_normalized,5.7870709394810715
10,daily_per_capita_supply_of_calories_normalized,5.048163533738058
11,age_dependency_ratio_normalized,4.467993938803179
12,life_expectancy_female_normalized,4.3590633030189085
13,population_estimates_and_projections_normalized,4.115395812465056
14,infant_mortality_per_1000_normalized,3.8217531113697727
15,births_per_1000_normalized,3.329771231075894
16,exports_of_goods_and_services_percentage_of_gdp_normalized,2.974476396765376
17,food_excl_fish-export_value_base_price_normalized,2.9372913303302335
18,food_excl_fish-import_value_base_period_price_normalized,2.380718723936852
19,life_expectancy_normalized,1.8902973610496032
20,annual_co_emissions_per_country_normalized,1.432507379080143
21,gross_capital_formation_normalized,1.287776219335189
22,deaths_per_1000_normalized,0.19029739508426857
23,surface_area_sq_km,0.11671870288288755
24,co_emissions_per_capita_international_normalized,-0.2226469054532791
25,agricultproductstotal-export_value_base_price_normalized,-1.697559339711453
26,democracy_scores_normalized,-2.2188450554304433
27,agricultproductstotal-import_value_base_period_price_normalized,-2.2585504993631718
28,fertility_rate_normalized,-4.346596471289084
29,rural_population_percentage_normalized,-4.442684195441857
30,military_expenditure_as_share_of_gdp_normalized,-6.285085589448606
