,2030,normalized
Trinidad and Tobago,4.755957411365416,1.4173324850198328
Slovak Republic,4.45417669418778,1.0158657285721264
Oman,4.222376773468359,0.7074962502754614
Latvia,4.184783730115457,0.6574852445324941
Japan,3.921247347948139,0.30689592410086736
Estonia,3.874936310023472,0.2452871428731433
Portugal,3.8444910025904613,0.2047849565886914
Saudi Arabia,3.8432817945204434,0.20317631556523355
Ireland,3.837930854709972,0.1960578208192877
Lithuania,3.7906552014952086,0.13316578672054905
Israel,3.7800947432722793,0.11911693380174132
Italy,3.716364962392612,0.034335544658766634
United Kingdom,3.644330852470473,-0.061493309929765434
Kuwait,3.587370295562234,-0.1372694239282785
United Arab Emirates,3.569395552191112,-0.16118169369380045
Guam,3.5619608690880282,-0.17107224647174585
Austria,3.4793133994558763,-0.28102033020666384
Greece,3.4786266723552237,-0.28193390117382877
Czech Republic,3.4618244136981264,-0.3042863839538655
Finland,3.434970111372681,-0.3400113625147606
