,2030,normalized
Zambia,6.266996069976443,3.4275066101697247
Turkmenistan,6.234990371948651,3.384928595592674
Mauritania,6.196219995632983,3.3333513531125116
Burkina Faso,5.42232575976718,2.303819673247962
Haiti,5.353928386258415,2.2128288639314655
Djibouti,5.35100602009361,2.208941164027014
Moldova,5.0995733700300026,1.8744537539958732
Liberia,5.088603553374523,1.8598603208809634
Myanmar,5.0590592232105145,1.8205567281488177
China,5.043531971132556,1.7999004198645001
Mozambique,4.975589261950791,1.7095144623567602
Lesotho,4.951204301877514,1.6770745141775565
India,4.892800307230237,1.5993781573197732
Russian Federation,4.855068259117347,1.5491822299202964
Suriname,4.691849853128249,1.332048528808316
Gabon,4.6754589722910405,1.3102433126680093
Vietnam,4.6707956302137354,1.3040395471143613
Maldives,4.638402068809528,1.2609455477748286
Angola,4.605903155733069,1.217711396358845
South Africa,4.583924652335679,1.1884728202395798
